Typical Measured Spectrum of Semrock FF01-542/50 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
300.0	0.00109
300.2	0.00129
300.4	0.00152
300.6	0.00179
300.8	0.00211
301.0	0.00249
301.2	0.00294
301.4	0.00346
301.6	0.00409
301.8	0.00482
302.0	0.00456
302.2	0.00426
302.4	0.00397
302.6	0.0037
302.8	0.00345
303.0	0.00322
303.2	0.00301
303.4	0.00281
303.6	0.00262
303.8	0.00244
304.0	0.00255
304.2	0.00275
304.4	0.00298
304.6	0.00322
304.8	0.00348
305.0	0.00377
305.2	0.00408
305.4	0.00441
305.6	0.00477
305.8	0.00516
306.0	0.00549
306.2	0.00576
306.4	0.00605
306.6	0.00635
306.8	0.00667
307.0	0.00701
307.2	0.00736
307.4	0.00773
307.6	0.00812
307.8	0.00853
308.0	0.00898
308.2	0.00951
308.4	0.01007
308.6	0.01066
308.8	0.01129
309.0	0.01195
309.2	0.01266
309.4	0.0134
309.6	0.01419
309.8	0.01503
310.0	0.01578
310.2	0.01528
310.4	0.01479
310.6	0.01432
310.8	0.01386
311.0	0.01342
311.2	0.01299
311.4	0.01258
311.6	0.01218
311.8	0.01179
312.0	0.00902
312.2	0.00681
312.4	0.00514
312.6	0.00389
312.8	0.00293
313.0	0.00222
313.2	0.00167
313.4	0.00126
313.6	9.5525e-04
313.8	7.2151e-04
314.0	6.5143e-04
314.2	6.213e-04
314.4	5.9256e-04
314.6	5.6515e-04
314.8	5.3901e-04
315.0	5.1408e-04
315.2	4.903e-04
315.4	4.6762e-04
315.6	4.4599e-04
315.8	4.2536e-04
316.0	4.5005e-04
316.2	5.1335e-04
316.4	5.8556e-04
316.6	6.6792e-04
316.8	7.6187e-04
317.0	8.6903e-04
317.2	9.9126e-04
317.4	0.00113
317.6	0.00129
317.8	0.00147
318.0	0.0016
318.2	0.00161
318.4	0.00163
318.6	0.00164
318.8	0.00166
319.0	0.00167
319.2	0.00169
319.4	0.0017
319.6	0.00172
319.8	0.00173
320.0	0.00173
320.2	0.00162
320.4	0.00152
320.6	0.00142
320.8	0.00133
321.0	0.00124
321.2	0.00116
321.4	0.00108
321.6	0.00101
321.8	9.4746e-04
322.0	9.3574e-04
322.2	9.2888e-04
322.4	9.2207e-04
322.6	9.1531e-04
322.8	9.086e-04
323.0	9.0194e-04
323.2	8.9533e-04
323.4	8.8876e-04
323.6	8.8225e-04
323.8	8.7578e-04
324.0	8.6658e-04
324.2	8.5649e-04
324.4	8.4652e-04
324.6	8.3667e-04
324.8	8.2693e-04
325.0	8.173e-04
325.2	8.0779e-04
325.4	7.9838e-04
325.6	7.8909e-04
325.8	7.799e-04
326.0	8.2135e-04
326.2	9.1017e-04
326.4	0.00101
326.6	0.00112
326.8	0.00124
327.0	0.00137
327.2	0.00152
327.4	0.00169
327.6	0.00187
327.8	0.00207
328.0	0.00221
328.2	0.00221
328.4	0.00221
328.6	0.00221
328.8	0.00222
329.0	0.00222
329.2	0.00222
329.4	0.00223
329.6	0.00223
329.8	0.00223
330.0	0.00224
330.2	0.00226
330.4	0.00229
330.6	0.00231
330.8	0.00234
331.0	0.00236
331.2	0.00239
331.4	0.00241
331.6	0.00244
331.8	0.00246
332.0	0.00233
332.2	0.00219
332.4	0.00206
332.6	0.00193
332.8	0.00182
333.0	0.00171
333.2	0.00161
333.4	0.00151
333.6	0.00142
333.8	0.00133
334.0	0.00129
334.2	0.00126
334.4	0.00123
334.6	0.0012
334.8	0.00117
335.0	0.00115
335.2	0.00112
335.4	0.00109
335.6	0.00107
335.8	0.00104
336.0	0.0011
336.2	0.00122
336.4	0.00136
336.6	0.00151
336.8	0.00167
337.0	0.00186
337.2	0.00206
337.4	0.00229
337.6	0.00255
337.8	0.00283
338.0	0.00295
338.2	0.0028
338.4	0.00265
338.6	0.00252
338.8	0.00239
339.0	0.00227
339.2	0.00215
339.4	0.00204
339.6	0.00194
339.8	0.00184
340.0	0.00176
340.2	0.00182
340.4	0.00187
340.6	0.00193
340.8	0.00199
341.0	0.00206
341.2	0.00212
341.4	0.00219
341.6	0.00225
341.8	0.00232
342.0	0.00236
342.2	0.0024
342.4	0.00243
342.6	0.00247
342.8	0.00251
343.0	0.00255
343.2	0.00258
343.4	0.00262
343.6	0.00266
343.8	0.0027
344.0	0.00274
344.2	0.00277
344.4	0.0028
344.6	0.00283
344.8	0.00286
345.0	0.00289
345.2	0.00292
345.4	0.00295
345.6	0.00298
345.8	0.00301
346.0	0.00303
346.2	0.00304
346.4	0.00305
346.6	0.00306
346.8	0.00307
347.0	0.00307
347.2	0.00308
347.4	0.00309
347.6	0.0031
347.8	0.0031
348.0	0.00301
348.2	0.00277
348.4	0.00254
348.6	0.00234
348.8	0.00215
349.0	0.00198
349.2	0.00182
349.4	0.00167
349.6	0.00154
349.8	0.00141
350.0	0.00131
350.2	0.00129
350.4	0.00126
350.6	0.00124
350.8	0.00122
351.0	0.0012
351.2	0.00118
351.4	0.00116
351.6	0.00113
351.8	0.00111
352.0	0.00113
352.2	0.00115
352.4	0.00117
352.6	0.00119
352.8	0.00121
353.0	0.00124
353.2	0.00126
353.4	0.00128
353.6	0.0013
353.8	0.00133
354.0	0.0013
354.2	0.00126
354.4	0.00121
354.6	0.00117
354.8	0.00114
355.0	0.0011
355.2	0.00106
355.4	0.00103
355.6	9.9328e-04
355.8	9.6051e-04
356.0	9.088e-04
356.2	8.4668e-04
356.4	7.8881e-04
356.6	7.349e-04
356.8	6.8467e-04
357.0	6.3787e-04
357.2	5.9427e-04
357.4	5.5365e-04
357.6	5.1581e-04
357.8	4.8055e-04
358.0	4.6787e-04
358.2	4.8351e-04
358.4	4.9967e-04
358.6	5.1637e-04
358.8	5.3363e-04
359.0	5.5146e-04
359.2	5.6989e-04
359.4	5.8894e-04
359.6	6.0862e-04
359.8	6.2897e-04
360.0	6.5733e-04
360.2	7.3829e-04
360.4	8.2921e-04
360.6	9.3133e-04
360.8	0.00105
361.0	0.00117
361.2	0.00132
361.4	0.00148
361.6	0.00166
361.8	0.00187
362.0	0.00185
362.2	0.0018
362.4	0.00176
362.6	0.00171
362.8	0.00167
363.0	0.00163
363.2	0.00159
363.4	0.00155
363.6	0.00151
363.8	0.00147
364.0	0.00134
364.2	0.0012
364.4	0.00107
364.6	9.5325e-04
364.8	8.5007e-04
365.0	7.5806e-04
365.2	6.76e-04
365.4	6.0283e-04
365.6	5.3758e-04
365.8	4.7939e-04
366.0	4.7007e-04
366.2	4.9304e-04
366.4	5.1713e-04
366.6	5.4239e-04
366.8	5.6889e-04
367.0	5.9669e-04
367.2	6.2584e-04
367.4	6.5642e-04
367.6	6.8849e-04
367.8	7.2213e-04
368.0	7.6457e-04
368.2	8.1966e-04
368.4	8.7872e-04
368.6	9.4204e-04
368.8	0.00101
369.0	0.00108
369.2	0.00116
369.4	0.00124
369.6	0.00133
369.8	0.00143
370.0	0.00153
370.2	0.00159
370.4	0.00166
370.6	0.00174
370.8	0.00181
371.0	0.00189
371.2	0.00197
371.4	0.00206
371.6	0.00215
371.8	0.00224
372.0	0.00211
372.2	0.00196
372.4	0.00182
372.6	0.0017
372.8	0.00158
373.0	0.00147
373.2	0.00136
373.4	0.00127
373.6	0.00118
373.8	0.0011
374.0	0.00104
374.2	9.8499e-04
374.4	9.3487e-04
374.6	8.8729e-04
374.8	8.4214e-04
375.0	7.9928e-04
375.2	7.5861e-04
375.4	7.2e-04
375.6	6.8336e-04
375.8	6.4859e-04
376.0	6.315e-04
376.2	6.2519e-04
376.4	6.1896e-04
376.6	6.1278e-04
376.8	6.0666e-04
377.0	6.0061e-04
377.2	5.9461e-04
377.4	5.8868e-04
377.6	5.828e-04
377.8	5.7699e-04
378.0	5.8798e-04
378.2	6.2029e-04
378.4	6.5437e-04
378.6	6.9033e-04
378.8	7.2826e-04
379.0	7.6828e-04
379.2	8.1049e-04
379.4	8.5503e-04
379.6	9.0201e-04
379.8	9.5157e-04
380.0	0.00102
380.2	0.00115
380.4	0.00131
380.6	0.00148
380.8	0.00168
381.0	0.00191
381.2	0.00216
381.4	0.00246
381.6	0.00279
381.8	0.00316
382.0	0.00311
382.2	0.00301
382.4	0.00291
382.6	0.00281
382.8	0.00271
383.0	0.00262
383.2	0.00253
383.4	0.00245
383.6	0.00236
383.8	0.00228
384.0	0.00209
384.2	0.00188
384.4	0.00168
384.6	0.00151
384.8	0.00136
385.0	0.00122
385.2	0.00109
385.4	9.8208e-04
385.6	8.8163e-04
385.8	7.9146e-04
386.0	7.3936e-04
386.2	7.1049e-04
386.4	6.8274e-04
386.6	6.5607e-04
386.8	6.3045e-04
387.0	6.0583e-04
387.2	5.8217e-04
387.4	5.5943e-04
387.6	5.3758e-04
387.8	5.1659e-04
388.0	5.1104e-04
388.2	5.246e-04
388.4	5.3852e-04
388.6	5.5281e-04
388.8	5.6747e-04
389.0	5.8253e-04
389.2	5.9798e-04
389.4	6.1385e-04
389.6	6.3013e-04
389.8	6.4685e-04
390.0	6.7096e-04
390.2	7.3829e-04
390.4	8.1237e-04
390.6	8.9388e-04
390.8	9.8357e-04
391.0	0.00108
391.2	0.00119
391.4	0.00131
391.6	0.00144
391.8	0.00159
392.0	0.00155
392.2	0.00149
392.4	0.00143
392.6	0.00137
392.8	0.00132
393.0	0.00127
393.2	0.00122
393.4	0.00117
393.6	0.00112
393.8	0.00108
394.0	9.8706e-04
394.2	8.8778e-04
394.4	7.9848e-04
394.6	7.1816e-04
394.8	6.4592e-04
395.0	5.8095e-04
395.2	5.2251e-04
395.4	4.6995e-04
395.6	4.2268e-04
395.8	3.8016e-04
396.0	3.6317e-04
396.2	3.6117e-04
396.4	3.5918e-04
396.6	3.572e-04
396.8	3.5523e-04
397.0	3.5327e-04
397.2	3.5132e-04
397.4	3.4939e-04
397.6	3.4746e-04
397.8	3.4554e-04
398.0	3.6593e-04
398.2	4.1659e-04
398.4	4.7426e-04
398.6	5.3991e-04
398.8	6.1465e-04
399.0	6.9974e-04
399.2	7.966e-04
399.4	9.0687e-04
399.6	0.00103
399.8	0.00118
400.0	0.00129
400.2	0.0012
400.4	0.00111
400.6	0.00103
400.8	9.5383e-04
401.0	8.8391e-04
401.2	8.1911e-04
401.4	7.5907e-04
401.6	7.0343e-04
401.8	6.5186e-04
402.0	5.5881e-04
402.2	4.7398e-04
402.4	4.0203e-04
402.6	3.41e-04
402.8	2.8924e-04
403.0	2.4533e-04
403.2	2.0809e-04
403.4	1.765e-04
403.6	1.4971e-04
403.8	1.2698e-04
404.0	1.3406e-04
404.2	1.5254e-04
404.4	1.7358e-04
404.6	1.9751e-04
404.8	2.2474e-04
405.0	2.5572e-04
405.2	2.9098e-04
405.4	3.311e-04
405.6	3.7675e-04
405.8	4.287e-04
406.0	4.2318e-04
406.2	3.8146e-04
406.4	3.4384e-04
406.6	3.0994e-04
406.8	2.7938e-04
407.0	2.5183e-04
407.2	2.27e-04
407.4	2.0462e-04
407.6	1.8445e-04
407.8	1.6626e-04
408.0	1.3421e-04
408.2	9.6138e-05
408.4	6.8865e-05
408.6	4.9329e-05
408.8	3.5335e-05
409.0	2.5311e-05
409.2	1.813e-05
409.4	1.2987e-05
409.6	9.3028e-06
409.8	6.6637e-06
410.0	4.9481e-06
410.2	4.3532e-06
410.4	3.8298e-06
410.6	3.3694e-06
410.8	2.9643e-06
411.0	2.6079e-06
411.2	2.2943e-06
411.4	2.0185e-06
411.6	1.7758e-06
411.8	1.5623e-06
412.0	1.3813e-06
412.2	1.2225e-06
412.4	1.0819e-06
412.6	9.5754e-07
412.8	8.4745e-07
413.0	7.5001e-07
413.2	6.6378e-07
413.4	5.8746e-07
413.6	5.1992e-07
413.8	4.6014e-07
414.0	4.2424e-07
414.2	3.9789e-07
414.4	3.7317e-07
414.6	3.4999e-07
414.8	3.2825e-07
415.0	3.0786e-07
415.2	2.8873e-07
415.4	2.708e-07
415.6	2.5398e-07
415.8	2.382e-07
416.0	2.2698e-07
416.2	2.1885e-07
416.4	2.1101e-07
416.6	2.0345e-07
416.8	1.9616e-07
417.0	1.8913e-07
417.2	1.8236e-07
417.4	1.7582e-07
417.6	1.6953e-07
417.8	1.6345e-07
418.0	1.5873e-07
418.2	1.5549e-07
418.4	1.5232e-07
418.6	1.4921e-07
418.8	1.4617e-07
419.0	1.4319e-07
419.2	1.4027e-07
419.4	1.3741e-07
419.6	1.3461e-07
419.8	1.3187e-07
420.0	1.2472e-07
420.2	9.8743e-08
420.4	7.8178e-08
420.6	6.1895e-08
420.8	4.9004e-08
421.0	3.8798e-08
421.2	3.0717e-08
421.4	2.432e-08
421.6	1.9255e-08
421.8	1.5244e-08
422.0	1.5584e-08
422.2	1.6608e-08
422.4	1.77e-08
422.6	1.8863e-08
422.8	2.0103e-08
423.0	2.1424e-08
423.2	2.2832e-08
423.4	2.4332e-08
423.6	2.5932e-08
423.8	2.7636e-08
424.0	2.9452e-08
424.2	3.1388e-08
424.4	3.3451e-08
424.6	3.0679e-08
424.8	2.7512e-08
425.0	2.4673e-08
425.2	2.2126e-08
425.4	1.9843e-08
425.6	1.7795e-08
425.8	1.5958e-08
426.0	1.4311e-08
426.2	1.2834e-08
426.4	1.1799e-08
426.6	1.1762e-08
426.8	1.1724e-08
427.0	1.1687e-08
427.2	1.165e-08
427.4	1.1613e-08
427.6	1.1576e-08
427.8	1.1539e-08
428.0	1.1502e-08
428.2	1.1465e-08
428.4	1.1618e-08
428.6	1.3353e-08
428.8	1.5348e-08
429.0	1.7641e-08
429.2	2.0276e-08
429.4	2.3305e-08
429.6	2.6787e-08
429.8	3.0788e-08
430.0	3.5388e-08
430.2	4.0675e-08
430.4	4.6751e-08
430.6	4.1324e-08
430.8	3.6478e-08
431.0	3.2201e-08
431.2	2.8425e-08
431.4	2.5092e-08
431.6	2.215e-08
431.8	1.9553e-08
432.0	1.726e-08
432.2	1.5236e-08
432.4	1.345e-08
432.6	1.1873e-08
432.8	1.0481e-08
433.0	9.8466e-09
433.2	9.8459e-09
433.4	9.8453e-09
433.6	9.8446e-09
433.8	9.8439e-09
434.0	9.8433e-09
434.2	9.8426e-09
434.4	9.8419e-09
434.6	9.8412e-09
434.8	9.8406e-09
435.0	2.8069e-08
435.2	2.5127e-08
435.4	2.2492e-08
435.6	2.0134e-08
435.8	1.8023e-08
436.0	1.6134e-08
436.2	1.4442e-08
436.4	1.2928e-08
436.6	1.1573e-08
436.8	1.036e-08
437.0	9.3074e-09
437.2	1.1999e-08
437.4	1.5469e-08
437.6	1.9943e-08
437.8	2.5711e-08
438.0	3.3147e-08
438.2	4.2733e-08
438.4	5.5092e-08
438.6	7.1025e-08
438.8	9.1566e-08
439.0	1.1805e-07
439.2	1.0688e-07
439.4	9.263e-08
439.6	8.0281e-08
439.8	6.9578e-08
