600 DCLP.csv	LF101818_P109625	Gabriele Dröscher	01.12.2009 14:04	Lambda 19 UV/Vis	2023	Rev. 9B/9C
nm	%T					
687	96,854573					
688	96,510428					
689	95,932654					
690	95,343304					
691	94,633526					
692	94,092363					
693	93,605408					
694	93,320745					
695	93,269041					
696	93,109339					
697	93,467444					
698	93,935901					
699	94,382545					
700	95,041454					
701	95,679179					
702	96,181202					
703	96,762687					
704	97,009677					
705	97,429919					
706	97,533417					
707	97,36712					
708	97,120017					
709	96,882156					
710	96,452653					
711	96,167669					
712	95,717722					
713	95,488745					
714	95,265162					
715	95,069677					
716	95,049191					
717	95,229101					
718	95,258969					
719	95,530599					
720	95,78768					
721	95,949647					
722	96,072209					
723	96,138233					
724	96,046227					
725	96,162203					
726	95,804441					
727	95,503849					
728	95,241636					
729	94,873336					
730	94,582391					
731	94,063097					
732	93,793255					
733	93,694979					
734	93,44914					
735	93,3139					
736	93,390155					
737	93,671429					
738	93,778849					
739	94,014359					
740	94,395065					
741	94,803396					
742	94,887054					
743	95,220914					
744	95,500183					
745	95,537451					
746	95,471704					
747	95,53296					
748	95,192552					
749	94,920224					
750	94,56827					
751	94,170046					
752	93,749571					
753	93,239477					
754	92,913824					
755	92,530325					
756	92,084175					
757	91,957268					
758	91,925329					
759	91,746792					
760	91,860849					
761	91,795731					
762	91,997308					
763	92,353332					
764	92,669904					
765	92,943066					
766	93,225861					
767	93,292058					
768	93,5826					
769	93,708625					
770	93,965572					
771	94,013852					
772	93,781871					
773	93,701592					
774	93,326741					
775	93,307665					
776	92,843026					
777	92,611846					
778	92,050737					
779	91,912332					
780	91,518849					
781	91,251665					
782	91,089809					
783	90,774384					
784	90,761793					
785	90,504867					
786	90,538162					
787	90,490904					
788	90,589428					
789	90,691596					
790	90,992892					
791	91,050282					
792	91,232628					
793	91,469851					
794	91,388458					
795	91,788799					
796	91,929418					
797	92,073932					
798	91,96856					
799	92,05524					
800	91,960073					
801	91,938543					
802	91,607666					
803	91,361576					
804	91,395211					
805	91,220272					
806	90,829867					
807	90,616521					
808	90,148973					
809	89,958763					
810	89,510792					
811	89,270821					
812	89,025462					
813	88,748649					
814	88,355559					
815	88,153386					
816	87,88777					
817	87,611607					
818	87,309134					
819	87,275001					
820	87,379986					
821	87,205282					
822	86,738813					
823	86,78458					
824	86,551547					
825	86,314398					
826	86,141753					
827	86,387327					
828	85,818714					
829	85,818231					
830	85,825342					
831	85,554051					
832	85,5901					
833	85,256025					
834	84,800875					
835	84,935513					
836	85,062277					
837	84,9554					
838	84,653467					
839	84,673187					
840	85,105443					
841	84,92921					
842	84,200215					
843	84,807003					
844	84,303856					
845	84,316394					
846	84,394819					
847	83,410212					
848	82,803065					
849	82,844383					
850	81,083101					
851	80,486667					
852	79,891682					
853	78,169978					
854	77,64259					
855	76,146272					
856	74,304181					
857	71,952233					
858	71,188295					
859	69,104347					
860	67,208546					
861	65,864873					
862	65,700883					
863	64,10585					
864	63,76366					
865	63,387948					
866	63,274872					
867	62,697381					
868	62,921757					
869	63,804251					
870	64,433402					
871	65,112504					
872	66,360974					
873	66,435468					
874	68,160069					
875	68,74359					
876	67,331654					
877	66,922954					
878	67,006528					
879	64,30251					
880	61,856276					
881	61,814654					
882	58,854449					
883	57,990387					
884	50,247478					
885	49,462461					
886	45,2416					
887	42,185044					
888	37,939537					
889	34,679773					
890	28,996074					
891	26,198685					
892	22,760622					
893	19,475847					
894	16,472389					
895	14,364102					
896	13,513726					
897	11,296539					
898	8,97718					
899	8,471686					
900	7,684199					
