XF1006,400DF15
Wavelength (nm),%T
746.0314331,0.036166836
745.0419312,0.003186187
744.052124,-0.031066168
743.0618896,-0.065906525
741.9298096,-0.003029681
740.9388428,-0.173158109
739.9475708,0.044848979
738.9559326,-0.127061382
737.9639282,-0.029078582
736.9715576,-0.106855854
735.9788818,0.036883615
734.9858398,0.064328671
733.9924927,-0.013091529
732.9987183,-0.023055404
732.0046387,-0.020442721
731.0102539,0.088530786
730.0154419,-0.02729604
729.0203247,0.002381894
728.0249023,0.025889242
727.0291138,-0.071596876
726.032959,0.005096189
725.036438,0.027015608
724.0396118,-0.00498785
723.0424194,0.00716334
722.0449219,0.002443997
721.0470581,0.017288012
720.0488892,-0.017043576
719.050354,-0.030282017
718.0514526,-0.029786723
717.0522461,-0.01526519
716.0527344,-0.006829793
715.0527954,-0.053635631
714.0526123,-0.133041412
713.052063,-0.089186914
712.0511475,-0.027672233
711.0499268,-0.06855572
710.0483398,0
709.0464478,-0.041956123
708.0441895,-0.007950004
707.041626,-0.017722007
706.0386963,-0.04863131
705.0354614,0.012691606
704.0318604,-0.027389301
703.0279541,-0.039293718
702.0237427,-0.038090147
701.019165,0.034855768
700.0142212,-0.002263689
699.0090332,-0.033831559
698.003479,-0.034047131
696.9975586,-0.009812784
695.991333,0.034304887
694.9848022,-0.037520085
693.9779053,-0.081236646
692.9707031,0.034187753
691.9631958,0.003477119
690.9553223,-0.089456841
689.9471436,0.011175693
688.9385986,-0.003784348
687.9298096,-0.078129247
687.0648193,-0.042892575
686.0553589,0.116364695
685.0455933,-0.067325853
684.0355225,-0.08317025
683.0250854,-0.027289847
682.0144043,-0.016888928
681.0032959,-0.027044883
679.9919434,0.046326227
678.9802856,0.03783885
677.9682617,-0.015730098
676.9559326,0.061787106
675.9432373,-0.120033495
674.9302979,0.12017633
674.0617676,0.048951637
673.0482178,-0.065126874
672.0343018,0.014718524
671.0200806,-0.092204042
670.0056152,-0.080255382
668.9907837,-0.011915389
667.9755859,0.110783324
666.960144,-0.014646263
665.9443359,-0.113240115
664.9282837,-0.073606059
664.0570679,-0.05256597
663.0404053,-0.137647927
662.0234375,-0.0104047
661.0061035,-0.023726577
659.9885254,-0.068342574
658.9705811,-0.010474851
657.9523315,-0.092985071
656.9337769,-0.068877131
656.0604858,-0.007852606
655.0413818,0.020343348
654.0219727,-0.057662763
653.0021973,-0.06010586
651.9821777,-0.083154105
650.961792,-0.041624192
649.9411621,-0.070313975
649.06604,0.020076558
648.0447998,0.00200782
647.0232544,0.013055684
646.0014038,0.011265852
644.979248,0.058047932
643.9568481,-0.057673782
642.934082,-0.055148702
642.0571899,-0.055355836
641.0338745,0.06318935
640.0102539,-0.024881637
638.9863281,-0.021598138
637.9620972,0.025135713
636.937561,-0.064794816
636.0591431,0.034309912
635.0340576,-0.032897893
634.008667,-0.066085175
632.9829712,-0.076250456
631.9569702,0.034103885
630.9307251,-0.064523533
630.0507813,0.003208715
629.0239868,-0.135389209
627.9968262,-0.061517529
626.9694214,-0.046956398
625.9417114,0.06393829
625.0605469,0.003551007
624.0322876,-0.068740271
623.0037231,-0.079194017
621.9748535,-0.094709501
620.9456787,-0.106283732
620.0633545,-0.006745033
619.0336304,0.043815266
618.0036621,-0.105857171
616.9733887,-0.117614038
615.9428101,-0.006637827
615.0592041,0.015723774
614.0280762,-0.040805902
612.9967041,-0.024229676
611.9650269,-0.038689263
610.9330444,-0.015361749
610.0482178,-0.017144667
609.0157471,-0.027611464
607.9829102,-0.011151684
606.9498291,0.004956867
606.0640869,-0.046598673
605.0304565,0.031030934
603.996582,0
602.9623413,0.070043482
601.9279175,0.003406812
601.0409546,-0.086990021
600.0059814,-0.045359328
598.9707031,0.022318829
597.9351196,-0.064069554
597.0472412,-0.011287611
596.0111694,-0.030374516
594.9747925,-0.067419201
593.9381104,-0.067460015
593.0493164,-0.061532814
592.012146,-0.059740134
590.9747314,-0.029116919
589.9369507,-0.075668313
589.0472412,0.034358356
588.0090332,-0.014590785
586.970459,-0.040061913
585.9317017,-0.114406601
585.0410767,-0.033524327
584.001709,0.033283029
582.9621582,-0.05284591
582.0708618,0.01141366
581.0307617,-0.02780655
579.9903564,-0.061934341
578.949707,0.031585563
578.0574951,-0.021538507
577.0163574,-0.011187854
575.9749146,-0.031382825
574.9332275,-0.019655265
574.0401001,0.002138213
572.9978638,-0.008138059
571.9553833,0.020396097
571.0616455,-0.019331574
570.0186768,-0.052515022
568.9754028,-0.002650884
567.9318848,-0.073009878
567.0372314,-0.043405242
565.9932251,-0.019091597
564.9489136,-0.007833253
564.0536499,-0.033000954
563.0088501,-0.013215968
561.9638062,-0.095547691
561.0678711,-0.05490493
560.0223389,-0.058146752
558.9765015,-0.073586889
557.930481,-0.018082855
557.0336304,-0.022473196
555.9870605,-0.049226005
554.9402466,-0.024805631
554.0427856,0.014979574
552.9954834,-0.048355471
551.947937,-0.037560053
551.0498047,-0.026787067
550.00177,-0.007967509
548.9534302,-0.03166841
548.0546875,-0.021510744
547.0059204,-0.035709187
545.9568481,-0.01187603
545.0574951,0.042789962
544.0079956,-0.00497121
542.9581909,-0.011477874
542.0581665,0.00556611
541.0079346,0
539.9573975,-0.022720302
539.0567627,-0.050698385
538.0057983,-0.02001556
536.9545898,-0.01462973
536.0532837,-0.004538015
535.0015869,-0.021001777
533.949646,-0.01654443
533.0477905,-0.011134283
531.9953613,0
530.942688,-0.014927166
530.0401611,-0.020930581
528.9870605,-0.031272888
527.9336548,-0.0061827
527.0305176,-0.010843872
525.9766846,-0.02861738
525.0731812,-0.011869637
524.0188599,-0.027506508
522.9642944,0.002437633
522.0601807,-0.012498165
521.005188,-0.018960683
519.9499512,-0.021803314
519.0452271,-0.007878534
517.989502,-0.007372263
516.9335327,-0.024539262
516.0281982,-0.014945414
514.9718018,-0.002270267
514.0661011,-0.025577875
513.0092163,-0.007874118
511.9521484,0.009265115
511.0458374,-0.012715174
509.9882813,-0.017120054
508.930481,-0.026332404
508.0236206,-0.035200257
506.9653625,-0.01201045
506.0581055,0
504.9994202,-0.030232593
503.9404907,-0.041298561
503.0326538,-0.020532195
501.9732971,-0.020422433
501.0650635,-0.014651365
500.005249,-0.01539627
498.9452209,-0.016059635
498.0364075,-0.010640496
496.9759521,-0.033729717
496.0667725,-0.02577772
495.0058594,-0.006963028
493.9447021,-0.004534382
493.0349731,-0.015940258
491.9733887,-0.022406626
491.0632629,-0.026264871
490.0012512,-0.029543286
488.9389954,-0.019132324
488.0283203,-0.005020347
486.9656677,-0.022101695
486.0546265,-0.017699385
484.9915161,-0.006115717
483.9281921,-0.023017552
483.016571,0
481.9528198,-0.025836062
481.040863,-0.022114575
479.9766846,-0.011196234
479.0643616,-0.011147358
477.9997559,0
476.9349365,-0.018307386
476.0220642,-0.004655743
474.9568176,-0.002378715
474.0436096,-0.049092028
472.9779358,0.018145846
472.0643616,-0.036859337
470.998291,-0.045162931
469.9320068,-0.046666395
469.0178528,-0.03388973
467.9511414,-0.018775268
467.0366516,-0.02933201
465.9695435,-0.032686051
465.054718,-0.007200305
463.9871826,-0.041551139
463.0720215,0
462.0040894,-0.027336264
460.9359436,-0.019076977
460.0202026,-0.03642635
458.9516602,-0.022572136
458.035614,-0.021244988
456.9666443,-0.028284142
456.0502319,-0.033310436
454.980896,-0.026672728
454.0641479,-0.033038002
452.9943848,0
451.9244385,-0.06649866
451.0071716,-0.016737824
449.9367981,-0.010610169
449.0191956,-0.02756485
447.9484253,-0.026333254
447.0304871,-0.027414003
445.9593506,-0.003259409
445.0410461,-0.041231651
443.9695129,-0.019336456
443.0509033,-0.02524312
441.9789734,-0.015185117
441.0600281,-0.031926963
439.9877319,-0.034869198
439.0684204,-0.022250557
437.9957275,-0.025547942
437.0761414,-0.00866299
436.0030518,-0.034520019
434.9297791,-0.010744987
434.0096436,-0.030094234
432.9359741,-0.045244984
432.0155334,-0.007235322
430.9414978,0
430.0207214,-0.02122465
428.9463196,-0.033727832
428.025238,-0.013570307
426.9504395,-0.022799551
426.0290222,-0.027021967
424.9538574,-0.01473835
424.0321045,-0.011467876
422.9565735,-0.017199146
422.0345154,-0.005509086
420.9586182,-0.015349761
420.0362549,-0.033413306
418.9599609,-0.014671532
418.0372925,-0.023176113
416.9606323,-0.029994618
416.0376587,-0.006518681
414.9606323,-0.030569531
414.037323,-0.007748803
412.9599609,-0.017225213
412.0363464,0.004554542
410.9586182,0.029175207
410.034668,0.055369426
408.9565735,0.059127424
408.0323486,0.0782682
406.9538879,0.211675808
406.0293579,0.507742882
404.9505615,3.328587055
404.0256958,16.18824768
402.9465332,32.84837723
402.0213928,35.11832809
400.941864,37.21605301
400.0164185,38.72419357
398.936554,38.24813843
398.0108032,37.04959869
396.930603,35.10299301
396.0045471,32.60463333
394.9239807,29.11613655
393.9976501,27.22436523
393.071167,26.70856094
391.9900818,24.01503372
391.063324,18.67943382
389.9819031,7.942745209
389.0548401,0.840365708
387.9730835,0.147982702
387.0457153,0.06376908
385.963623,0.030554853
385.0359802,0.017696273
383.9535522,0.005302822
383.0256042,0.048239615
381.9428406,-0.015293146
381.0146179,-0.023294549
379.9315186,-0.016983682
379.0029907,-0.024749741
378.0743408,-0.011361834
376.9907532,-0.002277323
376.0618286,-0.040059559
374.9779358,-0.01485917
374.0487061,-0.006367614
372.9644775,-0.009935967
372.0349731,-0.003859315
370.9504089,0
370.0206299,-0.007463964
368.93573,-0.010852247
368.0057068,0.026999921
367.075531,-0.048835337
365.9901428,-0.032260541
365.0596924,-0.066366188
363.9740295,-0.01032866
363.0433044,-0.029435279
361.9572754,-0.013041558
361.0262756,-0.002254998
359.9399719,-0.035547532
359.0086975,-0.044874772
358.077301,-0.010461819
356.9905396,0
356.0588684,-0.035048727
354.9717712,0.009111093
354.039856,-0.003189269
352.9524536,-0.02490174
352.0202637,0.026391037
350.9325256,-0.02206707
350.0000916,-0.056490447
349.0675049,-0.059621025
347.9793396,-0.011789795
347.0465088,-0.027209437
345.9580383,-0.035764124
345.0249329,-0.034348395
343.9361572,-0.100100026
343.0028076,-0.01023245
342.0693359,-0.082362987
340.9801331,-0.00459179
340.0463867,-0.017820556
338.9568787,0.004057173
338.0228882,0
336.9331055,0.008386481
335.9988403,-0.051591087
335.0644836,-0.049111538
333.9742737,-0.063624322
333.0396423,-0.036518533
331.9491272,-0.037373517
331.0142822,0.01140173
329.9234619,0.010018416
328.9883423,-0.044200305
328.0531311,0.003138464
326.9618835,-0.008624357
326.0264282,-0.040400714
324.934906,-0.005139642
323.999176,-0.025032839
323.0633545,-0.038851932
321.9714355,-0.012964665
321.0353699,-0.031198511
319.9431458,-0.032439772
319.0068359,-0.041227713
318.0704041,0.00557542
316.9777832,-0.036112059
316.0411377,-0.049356017
314.9482117,-0.008011143
314.011322,-0.030202715
313.0743408,-0.033138555
311.9810181,-0.02438182
311.0437927,-0.04699409
309.9501953,-0.031402096
309.0127258,-0.020547487
308.0751648,0
306.9812012,0.005721594
306.0433655,-0.037006259
304.9491272,-0.042887352
304.0111084,-0.035601255
303.0729675,-0.008870099
301.9783325,-0.022823816
301.0399475,-0.013741465
299.9450684,-0.021206327
299.0064697,-0.047571782
298.067749,-0.032290366
296.9724731,-0.010876419
296.0335693,-0.031640828
294.9380188,-0.00914676
293.9988708,-0.012261625
293.0596313,-0.016071111
291.9637146,-0.033001143
291.0242615,-0.027437318
289.9280701,-0.00547538
288.9884033,-0.016601641
288.0486145,-0.019589961
286.9520569,-0.039696679
286.0120544,-0.011136442
285.0719604,-0.020418471
283.9750671,-0.016338555
283.0347595,-0.015563688
281.9375916,-0.033311728
280.9970703,-0.0169531
280.0564575,-0.021769999
278.9589233,-0.021127844
278.0180969,-0.010785689
277.077179,-0.022481965
275.9793091,0
275.0381775,-0.02745498
273.9400635,-0.034365822
272.9987183,-0.037092857
272.0572815,-0.022945415
270.9588013,-0.015852107
270.0171814,-0.035354204
269.0754395,-0.037059736
267.9766235,-0.037858214
267.0346985,-0.024865098
265.9356689,-0.028992031
264.9935303,0
264.0513,-0.011717628
262.9519043,-0.013604868
262.009491,-0.01862435
261.0669556,-0.027025247
259.9672546,-0.020425601
259.0245361,-0.020473251
257.9245911,-0.018323716
256.9816895,-0.037975889
256.0386963,-0.018721059
254.9384308,-0.036564238
253.9952393,-0.0211928
253.0519562,-0.012497182
251.9513702,-0.015442118
251.0079041,-0.015639244
250.0643463,-0.019929847
248.9696198,-0.014408872
248.0315094,-0.01816937
246.9369354,-0.035168704
245.998642,-0.023218827
245.060257,-0.020730965
243.9653778,-0.034636728
243.026825,-0.028449049
241.9317322,-0.015367736
240.992981,-0.025613703
240.0541534,-0.025752176
238.9587555,-0.031317472
238.0197601,-0.002581104
236.9241486,0.002449892
235.9849701,-0.021785952
235.0457001,-0.023306815
233.9497986,-0.049270391
233.0103607,-0.012468904
232.0708466,-0.056292653
230.9746399,-0.041154969
230.0349426,0
228.9385376,-0.015888764
227.9986725,-0.027800972
227.0587463,-0.017004624
225.9620514,-0.027939258
225.0219421,-0.027117688
223.9250488,-0.029706871
222.9847717,-0.026127489
222.0444183,-0.015813097
220.9472351,-0.015238711
220.0067291,-0.025786305
219.0661316,0
217.9686737,-0.021338884
217.0279236,-0.048762288
215.9302826,-0.006376109
214.9893646,-0.031563643
214.0483704,-0.02816114
212.9504547,-0.02421768
212.0093079,-0.035768434
211.0680847,-0.012613527
209.9698944,-0.027394824
209.0285187,-0.018626105
207.9301453,0.003273191
206.9886017,-0.029985016
206.0469971,-0.024606563
204.9483643,-0.036398422
204.0066071,-0.032219142
203.0647736,-0.023291588
201.9658966,-0.03733886
201.0239105,-0.012982974
199.9239349,-0.021439414
