XF2048,400-477-575TBDR
Wavelength (nm),%T
1100.042847,36.37103271
1098.989014,22.23228455
1098.051514,14.46245289
1096.996094,6.241991997
1096.057129,9.195124626
1095,10.5228014
1093.942139,9.457890511
1093.000977,21.51828194
1091.941406,12.96372128
1090.998901,16.01914978
1090.055664,13.41966534
1088.993652,15.0112896
1088.049072,2.069444656
1086.985474,10.76547909
1086.039429,21.69827461
1084.974365,3.213437319
1084.026855,12.38406181
1082.960083,9.634815216
1082.01123,11.91394806
1080.942871,10.38134098
1079.992554,6.173289776
1079.041504,14.62737465
1077.970825,15.18654346
1077.018433,11.96346378
1075.946167,15.14546299
1074.99231,14.06019592
1074.037842,14.11236668
1072.963257,21.83853531
1072.007324,15.99341011
1071.050781,14.37919617
1069.973877,12.60606956
1069.015991,11.65330601
1068.057373,16.72529793
1066.978149,16.45669556
1066.018066,16.50269318
1065.057373,19.08606911
1063.97583,16.61273384
1063.013794,17.36550903
1062.051025,19.34566307
1060.967285,18.32121468
1060.003174,23.91103363
1059.03833,16.54380035
1057.952148,22.27723122
1056.986084,22.10531235
1056.019287,19.43081665
1055.051758,20.9198761
1053.962646,23.02783394
1052.993774,22.86920357
1052.024292,26.3372364
1051.054199,24.44934654
1049.961914,32.2328186
1048.990479,29.17923546
1048.018311,30.10262871
1047.045532,29.73552704
1045.950317,38.27185059
1044.976074,35.11425781
1044.001343,34.70310974
1043.025879,38.08337402
1042.049683,38.47390747
1040.950806,35.95980453
1039.973389,39.08822632
1038.995239,42.56913376
1038.016479,42.46783447
1037.037109,46.89901733
1036.057007,48.98778915
1034.953735,49.07171249
1033.97229,52.63059235
1032.990356,53.19511414
1032.00769,54.04447937
1031.024292,59.52961349
1030.040405,58.00231552
1029.055786,63.93874741
1027.947388,65.62926483
1026.961548,68.1343689
1025.974976,65.74990845
1024.987793,70.97372437
1023.999939,72.78504181
1023.011475,74.84539032
1022.0224,77.12664032
1021.032715,77.47397614
1020.042358,78.83261871
1019.051392,81.09545135
1018.059753,82.11354065
1016.943481,84.23505402
1015.950562,85.0976944
1014.95697,84.18935394
1013.962769,84.68491364
1012.967957,84.43850708
1011.972534,86.01065063
1010.976501,86.19445801
1009.979797,86.7151413
1008.982483,87.134758
1007.984558,84.97716522
1006.986023,82.06237793
1005.986816,82.06420135
1004.987061,81.04053497
1003.986633,80.81851959
1002.985596,79.56114197
1001.983948,78.97209167
1000.981689,78.31250763
999.9788208,77.79499054
998.9752808,74.80989075
997.9711914,77.59455872
996.9664307,75.30484009
995.9611206,75.98723602
994.9551392,73.78987122
993.9485474,73.44203186
992.9414063,73.15005493
992.0595703,72.87906647
991.0512695,71.29568481
990.0422974,71.37811279
989.0327759,72.16220093
988.022583,71.63739777
987.0117798,72.20217896
986.0004272,71.19597626
984.9884033,70.62513733
983.9758301,71.16345978
982.9626465,71.79632568
981.9487915,71.9489212
981.0612183,71.43204498
980.0462646,71.81336975
979.0307617,71.75020599
978.0145874,71.70014954
976.9978027,71.63180542
975.9804688,72.99349976
974.9624634,73.10470581
973.9439087,74.00004578
973.0521851,74.79211426
972.0325317,74.90427399
971.012207,75.51078796
969.991333,76.83774567
968.9698486,76.48352814
967.9477539,77.14997864
967.0529175,77.71411133
966.0297241,77.65272522
965.0059204,78.62528229
963.9815674,78.59806824
962.956543,78.87937164
962.0592041,79.37419891
