Typical Measured Spectrum of Semrock FF436/514/604-Di01 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Form of data:  Wavelength (nm) <tab> Transmission (0 to 1)	
365	0.0437566
365.2	0.041531155
365.4	0.039418896
365.6	0.037135407
365.8	0.034723637
366	0.0324685
366.2	0.030055572
366.4	0.027821964
366.6	0.025920936
366.8	0.024306012
367	0.0227917
367.2	0.023222222
367.4	0.023660876
367.6	0.025760758
367.8	0.029970034
368	0.0348671
368.2	0.045408325
368.4	0.059136436
368.6	0.08073144
368.8	0.10722192
369	0.1337124
369.2	0.16739328
369.4	0.20107416
369.6	0.23352532
369.8	0.26474676
370	0.2959682
370.2	0.32560876
370.4	0.35524932
370.6	0.38216164
370.8	0.40634572
371	0.4305298
371.2	0.44089428
371.4	0.45125876
371.6	0.45398606
371.8	0.44907618
372	0.4441663
372.2	0.42455078
372.4	0.40493526
372.6	0.38091308
372.8	0.35248424
373	0.3240554
373.2	0.29913892
373.4	0.27422244
373.6	0.25432926
373.8	0.23945938
374	0.2245895
374.2	0.22361338
374.4	0.22263726
374.6	0.23203644
374.8	0.25181092
375	0.2715854
375.2	0.30406092
375.4	0.33653644
375.6	0.3679702
375.8	0.3983622
376	0.4287542
376.2	0.447289
376.4	0.4658238
376.6	0.47629364
376.8	0.47869852
377	0.4811034
377.2	0.46761788
377.4	0.45413236
377.6	0.43445826
377.8	0.40859558
378	0.3827329
378.2	0.35017134
378.4	0.31760978
378.6	0.2836722
378.8	0.2483586
379	0.213045
379.2	0.18591076
379.4	0.15877652
379.6	0.13700664
379.8	0.12060112
380	0.1041956
380.2	0.097960017
380.4	0.092097601
380.6	0.090470284
380.8	0.09285852
381	0.0953098
381.2	0.10422444
381.4	0.11313908
381.6	0.12162268
381.8	0.12967524
382	0.1377278
382.2	0.1417258
382.4	0.1457238
382.6	0.14814786
382.8	0.14899798
383	0.1498481
383.2	0.14845642
383.4	0.14706474
383.6	0.14505164
383.8	0.14241712
384	0.1397826
384.2	0.13536572
384.4	0.13094884
384.6	0.12554778
384.8	0.11916254
385	0.1127773
385.2	0.1050641
385.4	0.0973509
385.6	0.089596036
385.8	0.082280348
386	0.075562
386.2	0.070396438
386.4	0.065584004
386.6	0.06234292
386.8	0.060466986
387	0.0586475
387.2	0.060135659
387.4	0.06166158
387.6	0.063090329
387.8	0.064413441
388	0.0657643
388.2	0.065209231
388.4	0.064658847
388.6	0.06320031
388.8	0.060895166
389	0.0586741
389.2	0.054562874
389.4	0.050739717
389.6	0.04677508
389.8	0.042746124
390	0.0390642
390.2	0.03544635
390.4	0.03216356
390.6	0.02875332
390.8	0.025324633
391	0.0223048
391.2	0.018601016
391.4	0.015512257
391.6	0.012509839
391.8	0.009755888
392	0.0076082
392.2	0.006436125
392.4	0.005444613
392.6	0.00482215
392.8	0.00447142
393	0.0041462
393.2	0.003896473
393.4	0.003661788
393.6	0.003413883
393.8	0.003157461
394	0.0029203
394.2	0.002698193
394.4	0.002492978
394.6	0.002311623
394.8	0.002151141
395	0.0020018
395.2	0.001935271
395.4	0.001870953
395.6	0.00186983
395.8	0.001931788
396	0.0019958
396.2	0.002235165
396.4	0.002503238
396.6	0.002875667
396.8	0.003388589
397	0.003993
397.2	0.004480808
397.4	0.00502821
397.6	0.005493478
397.8	0.005843301
398	0.0062154
398.2	0.006337903
398.4	0.006462821
398.6	0.006450358
398.8	0.006301307
399	0.0061557
399.2	0.005904462
399.4	0.005663478
399.6	0.005403694
399.8	0.005128647
400	0.0048676
400.2	0.004680013
400.4	0.004499655
400.6	0.004328059
400.8	0.004164748
401	0.0040076
401.2	0.00380455
401.4	0.003611787
401.6	0.003431263
401.8	0.003262112
402	0.0031013
402.2	0.003001505
402.4	0.00290492
402.6	0.002811952
402.8	0.002722452
403	0.0026358
403.2	0.002531697
