XF2029,595DRLP
Wavelength (nm),%T
1099.951904,73.44004822
1099.015747,93.64549255
1097.96167,93.538414
1097.024048,83.35303497
1095.968384,81.878479
1095.029419,84.36289978
1093.972168,71.04776764
1093.031616,76.21952057
1091.972778,79.87649536
1091.030884,83.38210297
1089.970337,86.10906982
1089.026978,74.6563797
1087.964966,70.81748962
1087.020142,70.63627625
1085.956421,83.87744141
1085.010254,82.43711853
1083.944946,69.58283997
1082.997314,73.63240814
1082.049072,70.2078476
1080.981445,75.67147064
1080.031738,86.10611725
1078.962524,76.02349854
1078.011353,71.00968933
1076.940552,66.93435669
1075.988037,66.12922668
1075.03479,68.55871582
1073.96167,63.26542664
1073.00708,70.63428497
1072.051758,74.80392456
1070.976318,71.73260498
1070.019653,69.02138519
1068.942505,68.35765839
1067.984497,61.55849838
1067.025757,68.74452209
1065.946411,59.72060013
1064.986206,62.30044937
1064.025391,62.21014404
1062.943726,67.17294312
1061.981567,66.53456879
1061.018677,66.24005127
1060.055176,61.70669174
1058.970459,66.80544281
1058.005615,64.35787964
1057.040039,66.66493225
1055.953125,65.34337616
1054.986206,65.98670197
1054.018555,59.89764786
1053.050415,62.90081024
1051.960327,67.48879242
1050.990723,58.02986526
1050.020508,60.19898224
1049.049561,66.93716431
1047.956543,64.04627991
1046.984253,60.59988785
1046.011353,62.68302917
1045.037842,65.10348511
1043.941772,65.86909485
1042.966797,58.50811005
1041.991333,62.20483017
1041.015015,69.2519455
1040.038208,65.07885742
1039.060669,68.13200378
1037.960205,65.38700104
1036.981445,65.38684082
1036.001953,65.43247986
1035.021729,63.96333694
1034.041016,65.3757782
1033.05957,63.11413574
1031.954712,64.45063019
1030.971924,67.36991882
1029.988525,66.10797119
1029.004517,71.70283508
1028.019775,69.2357254
1027.034546,69.24768829
1026.048584,71.19787598
1024.938599,69.38455963
1023.951355,70.88713837
1022.96344,70.10834503
1021.974854,73.39334106
1020.985718,76.44351959
1019.995911,74.04653931
1019.005432,76.73167419
1018.014404,74.02685547
1017.022705,75.15135193
1016.030396,75.9037323
1015.037415,77.54722595
1014.043823,76.48085022
1013.049683,78.35041046
1012.05481,78.72898102
1011.059387,79.2466507
1009.938782,79.74886322
1008.942017,78.26076508
1007.94458,79.91440582
1006.946594,80.36481476
1005.947937,80.5157547
1004.948669,82.40548706
1003.948792,81.39481354
1002.948303,82.55422974
1001.947205,83.02497101
1000.945496,83.46199799
999.9431152,81.44134521
998.9401245,82.51654816
998.0620728,81.36309052
997.0579224,83.38109589
996.0532227,82.62464142
995.0478516,80.23579407
994.0418701,81.44738007
993.0352783,80.71120453
992.0281372,80.6058197
991.0203247,80.07334137
990.0119019,80.05789185
989.0028687,79.31988525
987.9932251,77.57792664
986.9830322,76.63951111
985.972168,76.38751984
984.9606934,76.63772583
983.9486084,74.9706192
983.062561,75.12149811
982.0493774,72.61029053
981.0355835,72.51778412
980.0211182,72.03000641
979.0061035,70.80357361
977.9904785,68.71892548
976.9743042,67.75060272
975.9574585,67.77941132
974.9400024,67.70397949
974.0492554,65.92874146
973.0307007,65.2527771
972.0115967,64.34131622
970.9918213,62.36645508
969.9714355,62.01036072
968.9505005,62.13967896
968.0567017,61.12044525
967.0346069,59.3762207
966.0119629,59.55721664
964.9886475,58.80417633
963.9647827,57.35436249
962.9403687,57.11101913
962.043457,57.0803299
961.0178833,56.85187149
959.9917603,55.2125473
958.9649658,54.39212799
957.9376221,55.50232697
957.038208,54.23635864
956.0097656,54.49301529
954.9807739,54.86566925
953.9511108,54.14559174
953.0496826,54.31863022
952.0189819,54.76630783
950.9876709,54.35499573
949.9557495,53.47528458
949.0523682,54.67335129
948.0193481,54.6437149
946.9857788,54.55408096
945.9515991,54.66392517
945.0462036,55.95389557
944.0109253,56.55361938
942.9750977,57.90164566
941.9386597,57.47478485
941.031311,58.27953339
939.9937744,58.78340149
938.9556885,60.49652863
938.046875,61.57642746
937.0076904,61.38113022
935.9679565,64.41929626
935.0576782,64.81497955
934.0168457,65.77127838
932.9754028,68.74053192
932.0637207,70.64095306
931.0212402,71.19146729
929.9781494,72.90991211
929.0650024,73.7531662
928.020813,75.74877167
926.9761353,76.85457611
926.0615234,78.96685791
925.0157471,79.08456421
923.9693604,80.27432251
923.0533447,80.44129944
922.0059204,81.1408844
920.9579468,80.32382965
920.0404663,80.44335938
918.991394,79.75495148
917.9417725,78.63375092
917.0228882,78.06493378
915.972168,76.84748077
915.0523682,75.34635162
914.0006104,74.72322083
912.9483032,72.34499359
912.0270996,70.34814453
910.9736938,68.50351715
910.0515747,67.70209503
908.9971313,64.84429169
907.9421997,62.90981293
907.0186157,61.12199402
905.9625854,58.75341415
905.0380859,56.32884979
903.9810181,53.5592308
903.055603,50.87049484
901.9974976,48.97738266
900.9388428,45.48052979
900.0120239,43.3015213
898.9523315,41.29125595
898.0245972,39.34871674
896.9638672,37.01658249
896.0352173,35.73016357
894.9734497,33.3433609
894.0438843,31.08045959
892.9810791,29.35227394
892.0506592,27.53897858
890.9868164,26.72350311
890.055481,24.42014313
888.9906006,22.66048241
888.0583496,22.18077087
886.9924316,20.672575
886.0593262,19.52640724
884.9923706,18.27623749
884.0583496,17.07023621
882.9903564,16.36052513
882.055481,15.69280815
880.9865112,14.78475189
880.0506592,14.08073902
878.9806519,13.57643604
878.0439453,12.53258705
876.9729614,12.17017365
876.0354004,11.3927784
874.9633179,11.54843521
874.0248413,10.17901611
