XF2045,400-485-580TBDR
Wavelength (nm),%T
1100.042847,74.23458862
1098.989014,84.00521088
1098.051514,70.23374939
1096.996094,59.39693451
1096.057129,78.88035583
1095,70.89183044
1093.942139,72.19973755
1093.000977,90.53549957
1091.941406,78.52354431
1090.998901,75.6346817
1090.055664,86.68410492
1088.993652,80.19512177
1088.049072,81.35257721
1086.985474,77.81807709
1086.039429,78.15526581
1084.974365,86.02601624
1084.026855,85.95272827
1082.960083,86.1016922
1082.01123,79.40724182
1080.942871,80.93951416
1079.992554,83.18454742
1079.041504,77.66602325
1077.970825,94.36882782
1077.018433,88.23478699
1075.946167,84.26873779
1074.99231,82.79143524
1074.037842,83.585289
1072.963257,88.14141083
1072.007324,91.21394348
1071.050781,79.28666687
1069.973877,85.55786896
1069.015991,82.72101593
1068.057373,76.32913208
1066.978149,82.59823608
1066.018066,78.29078674
1065.057373,82.50648499
1063.97583,73.95492554
1063.013794,73.37632751
1062.051025,74.50949097
1060.967285,80.47328949
1060.003174,80.25999451
1059.03833,72.59468079
1057.952148,73.27067566
1056.986084,73.72296143
1056.019287,70.77394104
1055.051758,73.55654907
1053.962646,68.51017761
1052.993774,69.64634705
1052.024292,67.52807617
1051.054199,72.76885223
1049.961914,69.52005768
1048.990479,67.47203827
1048.018311,64.49022675
1047.045532,65.94841003
1045.950317,66.19854736
1044.976074,64.06056976
1044.001343,71.58770752
1043.025879,67.69215393
1042.049683,67.86316681
1040.950806,64.74964905
1039.973389,65.95017242
1038.995239,65.17134094
1038.016479,64.73820496
1037.037109,66.56845856
1036.057007,66.05573273
1034.953735,67.4023819
1033.97229,65.77228546
1032.990356,66.28501129
1032.00769,68.9384613
1031.024292,68.83543396
1030.040405,70.06420135
1029.055786,71.37340546
1027.947388,70.47531891
1026.961548,72.23361969
1025.974976,71.68334961
1024.987793,71.74622345
1023.999939,74.22917175
1023.011475,74.25722504
1022.0224,75.93084717
1021.032715,74.69458771
1020.042358,76.54137421
1019.051392,77.68054199
1018.059753,79.30059052
1016.943481,80.0934906
1015.950562,82.34859467
1014.95697,81.52443695
1013.962769,81.17356873
1012.967957,82.34518433
1011.972534,83.12875366
1010.976501,82.79717255
1009.979797,83.23635101
1008.982483,82.99904633
1007.984558,81.25901031
1006.986023,77.07569885
1005.986816,79.38355255
1004.987061,76.88499451
1003.986633,76.90563965
1002.985596,74.98238373
1001.983948,73.65148163
1000.981689,70.21853638
999.9788208,69.48327637
998.9752808,66.63062286
997.9711914,64.83692169
996.9664307,64.0927887
995.9611206,61.65096664
994.9551392,58.21188736
993.9485474,56.16424561
992.9414063,54.65083694
992.0595703,52.93935394
991.0512695,49.13996887
990.0422974,48.93489075
989.0327759,47.8082428
988.022583,45.538414
987.0117798,43.60612488
986.0004272,41.3276062
984.9884033,40.36484528
983.9758301,38.30263901
982.9626465,36.61203003
981.9487915,35.51099014
981.0612183,34.81231308
980.0462646,33.0815506
979.0307617,32.26652145
978.0145874,30.90792274
976.9978027,29.05142975
975.9804688,29.43104744
974.9624634,27.72783279
973.9439087,26.42974472
973.0521851,26.32535934
972.0325317,24.37980843
971.012207,24.71414566
969.991333,23.01073265
968.9698486,22.60435677
967.9477539,22.61885071
967.0529175,21.48376846
966.0297241,21.18382454
965.0059204,20.70841408
963.9815674,19.18040276
962.956543,18.75272751
962.0592041,17.78694916
961.0331421,18.15134621
960.0064087,17.72043419
958.979126,16.99966621
957.9512329,16.58326912
957.0513916,17.06205368
956.0223999,16.24981499
954.9927979,15.57671738
953.9626465,15.33172321
953.060791,15.57718468
952.029541,15.64703465
950.9976807,14.99205208
949.96521,15.42346668
949.0614014,14.93696117
948.027832,14.78878212
946.9937134,14.25486088
945.9590454,14.50980282
945.0531616,14.38434982
944.017395,15.28544998
942.9810181,14.08151436
941.9440308,14.3785162
941.0361938,13.55969715
939.9981689,13.94691277
938.9595337,13.97139549
938.050293,14.09298611
937.0105591,14.34405708
935.9702759,14.03445339
935.0595093,14.18119335
934.0181274,14.13750076
932.9761963,13.84836769
932.0640259,14.38760567
931.0209961,14.74385452
929.977417,14.59988785
929.0637817,15.01666451
928.019104,14.95874119
926.973877,15.3131876
926.0587769,15.57582474
925.0124512,15.71115112
923.9655762,15.74295807
923.0490723,15.98694134
922.0011597,15.93389034
920.9525757,16.59822655
920.034668,17.0796833
918.9851074,17.02267456
917.9349365,17.354599
917.015564,17.96298218
915.9643555,18.44261742
915.0440674,18.21268272
913.9918213,18.79217529
912.9389648,19.79550743
912.0172729,20.19199944
910.9633789,20.45594978
910.0407715,21.21272278
908.9857788,22.59000778
908.0622559,22.36806297
907.0062866,23.28717804
905.949707,23.49147415
905.0247803,24.79493713
903.9671631,25.45760345
903.0413208,26.74590111
901.982666,27.16631889
901.0558472,28.52548409
899.9962158,29.01144409
898.9359131,30.18597984
898.0077515,31.50154686
896.9464722,32.93252182
896.017395,33.50536346
894.9550781,34.5596962
894.0250854,35.9428215
892.961731,38.11290741
892.0308838,39.51313019
890.9664917,40.78197861
890.034668,42.59863281
888.9692383,44.4759903
888.0365601,45.81661987
886.9701538,47.78574371
886.0365601,49.10087585
884.9690552,51.8818779
884.0346069,53.99733734
882.9661255,56.5567131
882.0307007,57.94031143
880.9611816,60.63628387
880.0249634,62.47822189
878.9544067,64.99214935
878.0172729,67.35016632
876.9456787,69.52630615
876.0076294,70.61922455
874.9351196,73.87227631
873.9961548,75.67957306
873.0568237,77.22151947
871.9827881,78.75893402
871.0425415,81.87021637
869.9675293,84.03152466
869.0264282,84.73144531
867.9503174,86.37364197
867.0083618,86.38473511
866.065979,88.25776672
864.9884644,90.12952423
864.045166,91.3387146
862.9666138,92.06010437
862.022522,92.08843994
860.9429932,92.2019577
859.9979858,91.72236633
859.0525513,90.63587189
857.9715576,90.09340668
