Typical Measured Spectrum of Semrock FF505/606-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
337.4	0.32165
337.6	0.38024
337.8	0.43805
338.0	0.48179
338.2	0.5023
338.4	0.4994
338.6	0.47305
338.8	0.42517
339.0	0.35844
339.2	0.28523
339.4	0.21932
339.6	0.16966
339.8	0.13497
340.0	0.1119
340.2	0.09716
340.4	0.08851
340.6	0.08389
340.8	0.08215
341.0	0.08257
341.2	0.08488
341.4	0.08828
341.6	0.09305
341.8	0.09728
342.0	0.10117
342.2	0.10387
342.4	0.10518
342.6	0.10462
342.8	0.10269
343.0	0.09987
343.2	0.09651
343.4	0.0933
343.6	0.09066
343.8	0.09049
344.0	0.09222
344.2	0.09729
344.4	0.10617
344.6	0.12084
344.8	0.14181
345.0	0.1678
345.2	0.19466
345.4	0.21884
345.6	0.23514
345.8	0.24323
346.0	0.24022
346.2	0.22714
346.4	0.20445
346.6	0.17576
346.8	0.14543
347.0	0.11968
347.2	0.09944
347.4	0.08528
347.6	0.07584
347.8	0.06978
348.0	0.06624
348.2	0.06519
348.4	0.06562
348.6	0.06792
348.8	0.07203
349.0	0.07835
349.2	0.08698
349.4	0.09916
349.6	0.11599
349.8	0.1386
350.0	0.16903
350.2	0.2082
350.4	0.25707
350.6	0.31057
350.8	0.3646
351.0	0.41359
351.2	0.45082
351.4	0.46932
351.6	0.4731
351.8	0.46003
352.0	0.43099
352.2	0.39293
352.4	0.35083
352.6	0.31152
352.8	0.27826
353.0	0.25086
353.2	0.22876
353.4	0.21199
353.6	0.19973
353.8	0.19128
354.0	0.1862
354.2	0.18455
354.4	0.18658
354.6	0.19252
354.8	0.20287
355.0	0.21968
355.2	0.2433
355.4	0.27653
355.6	0.31943
355.8	0.37444
356.0	0.43641
356.2	0.49944
356.4	0.55456
356.6	0.59596
356.8	0.61651
357.0	0.61633
357.2	0.59591
357.4	0.55695
357.6	0.50343
357.8	0.44098
358.0	0.38131
358.2	0.32972
358.4	0.2882
358.6	0.25675
358.8	0.23412
359.0	0.21975
359.2	0.21167
359.4	0.20854
359.6	0.21072
359.8	0.21751
360.0	0.22936
360.2	0.24606
360.4	0.26877
360.6	0.29656
360.8	0.32907
361.0	0.36173
361.2	0.39194
361.4	0.41649
361.6	0.43313
361.8	0.44149
362.0	0.4376
362.2	0.42375
362.4	0.40272
362.6	0.37652
362.8	0.35038
363.0	0.3255
363.2	0.30404
363.4	0.2882
363.6	0.27794
363.8	0.27209
364.0	0.2706
364.2	0.27472
364.4	0.28416
364.6	0.29807
364.8	0.31846
365.0	0.34422
365.2	0.37689
365.4	0.41592
365.6	0.45862
365.8	0.50657
366.0	0.55749
366.2	0.6054
366.4	0.65196
366.6	0.69574
366.8	0.73151
367.0	0.76226
367.2	0.78305
367.4	0.80054
367.6	0.8127
367.8	0.81903
368.0	0.8233
368.2	0.8244
368.4	0.82473
368.6	0.82515
368.8	0.82627
369.0	0.82386
369.2	0.82203
369.4	0.82012
369.6	0.81823
369.8	0.81491
370.0	0.81451
370.2	0.81559
370.4	0.81884
370.6	0.82218
370.8	0.8305
371.0	0.83993
371.2	0.8477
371.4	0.85665
371.6	0.86655
371.8	0.87489
372.0	0.88077
372.2	0.88433
372.4	0.88554
372.6	0.8846
372.8	0.88106
373.0	0.87572
373.2	0.86949
373.4	0.86284
373.6	0.85634
373.8	0.85113
374.0	0.84927
374.2	0.84603
374.4	0.8472
374.6	0.84856
374.8	0.8496
375.0	0.85178
375.2	0.85295
375.4	0.8529
375.6	0.85111
375.8	0.8448
376.0	0.83421
376.2	0.82057
376.4	0.80098
376.6	0.77685
376.8	0.74994
377.0	0.72086
377.2	0.68777
377.4	0.65247
377.6	0.61606
377.8	0.58132
378.0	0.54742
378.2	0.51282
378.4	0.48158
378.6	0.45244
378.8	0.42598
379.0	0.40132
379.2	0.38035
379.4	0.36131
379.6	0.34545
379.8	0.32988
380.0	0.31928
380.2	0.31018
380.4	0.30336
380.6	0.29885
380.8	0.29627
381.0	0.29502
381.2	0.29552
381.4	0.29756
381.6	0.29902
381.8	0.29923
382.0	0.30051
382.2	0.29917
382.4	0.29689
382.6	0.29228
382.8	0.28568
383.0	0.27681
383.2	0.26674
383.4	0.25529
383.6	0.24249
383.8	0.22961
384.0	0.21751
384.2	0.20622
384.4	0.19646
384.6	0.18788
384.8	0.18117
385.0	0.17622
385.2	0.17284
385.4	0.17107
385.6	0.172
385.8	0.17536
386.0	0.18016
386.2	0.18824
386.4	0.19999
386.6	0.21583
386.8	0.23654
387.0	0.26367
387.2	0.29926
387.4	0.34483
387.6	0.39797
387.8	0.45409
388.0	0.51247
388.2	0.56519
388.4	0.61128
388.6	0.6454
388.8	0.66441
389.0	0.67257
389.2	0.66417
389.4	0.64393
389.6	0.61122
389.8	0.57284
390.0	0.53236
390.2	0.4944
390.4	0.46136
390.6	0.432
390.8	0.41095
391.0	0.39471
391.2	0.38347
391.4	0.37653
391.6	0.37486
391.8	0.37672
392.0	0.38303
392.2	0.39271
392.4	0.40473
392.6	0.42063
392.8	0.43916
393.0	0.45861
393.2	0.47814
393.4	0.49963
393.6	0.51795
393.8	0.53548
394.0	0.55045
394.2	0.56321
394.4	0.57068
394.6	0.57577
394.8	0.57634
395.0	0.57387
395.2	0.56663
395.4	0.55614
395.6	0.54181
395.8	0.52641
396.0	0.50742
396.2	0.48782
396.4	0.46797
396.6	0.44667
396.8	0.42636
397.0	0.40599
397.2	0.38792
397.4	0.37032
397.6	0.35454
397.8	0.34111
398.0	0.33081
398.2	0.32212
398.4	0.31597
398.6	0.31421
398.8	0.31435
399.0	0.31805
399.2	0.32665
399.4	0.33863
399.6	0.35683
399.8	0.3803
400.0	0.40948
400.2	0.44601
400.4	0.48799
400.6	0.53486
400.8	0.58285
401.0	0.62976
401.2	0.67174
401.4	0.70742
401.6	0.73471
401.8	0.75271
402.0	0.76004
402.2	0.75713
402.4	0.74183
402.6	0.71804
402.8	0.68822
403.0	0.65456
403.2	0.61765
403.4	0.58292
403.6	0.54891
403.8	0.51734
404.0	0.49014
404.2	0.46497
404.4	0.44234
404.6	0.42481
404.8	0.40924
405.0	0.39694
405.2	0.38609
405.4	0.37873
405.6	0.37433
405.8	0.37108
406.0	0.36959
406.2	0.37116
406.4	0.37484
406.6	0.38232
406.8	0.39311
407.0	0.40936
407.2	0.43234
407.4	0.4606
407.6	0.49315
407.8	0.52744
408.0	0.56152
408.2	0.59058
408.4	0.61556
408.6	0.6352
408.8	0.6458
409.0	0.65
409.2	0.64421
409.4	0.62959
409.6	0.607
409.8	0.57893
410.0	0.54701
410.2	0.51163
410.4	0.47587
410.6	0.43981
410.8	0.40544
411.0	0.37127
411.2	0.33679
411.4	0.30394
411.6	0.27397
411.8	0.24685
412.0	0.22291
412.2	0.20251
412.4	0.18588
412.6	0.17235
412.8	0.16204
413.0	0.1542
413.2	0.14935
413.4	0.14751
413.6	0.1475
413.8	0.15057
414.0	0.15676
414.2	0.16622
414.4	0.18028
414.6	0.19842
414.8	0.22035
415.0	0.25615
415.2	0.28455
415.4	0.31212
415.6	0.33853
415.8	0.36286
416.0	0.38291
416.2	0.39903
416.4	0.41075
416.6	0.41841
416.8	0.42075
417.0	0.42066
417.2	0.41739
417.4	0.41444
417.6	0.41427
417.8	0.41563
418.0	0.4229
418.2	0.43412
418.4	0.45041
418.6	0.47095
418.8	0.49301
419.0	0.51379
419.2	0.53266
419.4	0.54892
419.6	0.56255
419.8	0.57297
420.0	0.57812
420.2	0.57884
420.4	0.57482
420.6	0.56556
420.8	0.55283
421.0	0.53843
421.2	0.52362
421.4	0.50597
421.6	0.48958
421.8	0.47205
422.0	0.45313
422.2	0.43326
422.4	0.41403
422.6	0.39478
422.8	0.37926
423.0	0.3673
423.2	0.36119
423.4	0.36216
423.6	0.37033
423.8	0.38492
424.0	0.4036
424.2	0.42363
424.4	0.44372
424.6	0.46232
424.8	0.47747
425.0	0.49873
425.2	0.51477
425.4	0.51917
425.6	0.52068
425.8	0.51819
426.0	0.514
426.2	0.50986
426.4	0.5055
426.6	0.50233
426.8	0.49881
427.0	0.49278
427.2	0.4846
427.4	0.47596
427.6	0.46337
427.8	0.44695
428.0	0.43026
428.2	0.41181
428.4	0.39373
428.6	0.37509
428.8	0.35833
429.0	0.3418
429.2	0.3269
429.4	0.31447
429.6	0.30349
429.8	0.29365
430.0	0.28461
430.2	0.27808
430.4	0.27056
430.6	0.26508
430.8	0.26016
431.0	0.25754
431.2	0.25887
431.4	0.26565
431.6	0.27498
431.8	0.28589
432.0	0.29392
432.2	0.29897
432.4	0.30053
432.6	0.29967
432.8	0.29691
433.0	0.29159
433.2	0.28552
433.4	0.27853
433.6	0.26963
433.8	0.26135
434.0	0.28075
434.2	0.27276
434.4	0.265
434.6	0.25627
434.8	0.24668
435.0	0.23746
435.2	0.23014
435.4	0.22305
435.6	0.21697
435.8	0.21183
436.0	0.20682
436.2	0.19999
436.4	0.19339
436.6	0.18467
436.8	0.17413
437.0	0.1642
437.2	0.14965
437.4	0.1364
437.6	0.12347
437.8	0.111
438.0	0.09979
438.2	0.09405
438.4	0.08863
438.6	0.08706
438.8	0.08913
439.0	0.09126
439.2	0.09706
439.4	0.10323
439.6	0.10889
439.8	0.11392
440.0	0.11918
440.2	0.12111
440.4	0.12307
440.6	0.12356
440.8	0.12255
441.0	0.12154
441.2	0.11909
441.4	0.11669
441.6	0.1149
441.8	0.11371
442.0	0.11252
442.2	0.11221
442.4	0.1119
442.6	0.11146
442.8	0.1109
443.0	0.11035
443.2	0.10836
443.4	0.1064
443.6	0.10245
443.8	0.09671
444.0	0.0913
444.2	0.08103
444.4	0.07191
444.6	0.063
444.8	0.05448
445.0	0.04711
445.2	0.04554
445.4	0.04401
445.6	0.04527
445.8	0.04956
446.0	0.05425
446.2	0.05963
446.4	0.06554
446.6	0.07033
446.8	0.07368
447.0	0.07718
447.2	0.07743
447.4	0.07768
447.6	0.07732
447.8	0.07636
448.0	0.07541
448.2	0.0749
448.4	0.07439
448.6	0.07404
448.8	0.07384
449.0	0.07365
449.2	0.07336
449.4	0.07307
449.6	0.07277
449.8	0.07247
450.0	0.07217
450.2	0.07066
450.4	0.06917
450.6	0.06568
450.8	0.06049
451.0	0.0557
451.2	0.04589
451.4	0.0378
451.6	0.02994
451.8	0.0228
452.0	0.01736
452.2	0.01436
452.4	0.01188
452.6	0.0105
452.8	0.00991
453.0	0.00935
453.2	0.00925
453.4	0.00916
453.6	0.00908
453.8	0.00902
454.0	0.00895
454.2	0.00883
454.4	0.0087
454.6	0.00858
454.8	0.00844
455.0	0.00831
455.2	0.00814
455.4	0.00797
455.6	0.0078
455.8	0.00762
456.0	0.00745
456.2	0.00725
456.4	0.00706
456.6	0.00683
456.8	0.00654
457.0	0.00627
457.2	0.00592
457.4	0.00559
457.6	0.00522
457.8	0.00483
458.0	0.00447
458.2	0.00406
458.4	0.00369
458.6	0.00334
458.8	0.003
459.0	0.0027
459.2	0.00264
459.4	0.00259
459.6	0.00262
459.8	0.00275
460.0	0.00288
460.2	0.00313
460.4	0.0034
460.6	0.0037
460.8	0.00405
461.0	0.00444
461.2	0.00478
461.4	0.00515
461.6	0.00549
461.8	0.00582
462.0	0.00617
462.2	0.00636
462.4	0.00656
462.6	0.00669
462.8	0.00676
463.0	0.00683
463.2	0.00688
463.4	0.00694
463.6	0.00699
463.8	0.00705
464.0	0.00711
464.2	0.00713
464.4	0.00715
464.6	0.00713
464.8	0.00708
465.0	0.00703
465.2	0.00692
465.4	0.00681
465.6	0.00667
465.8	0.00652
466.0	0.00636
466.2	0.00608
466.4	0.00581
466.6	0.00553
466.8	0.00525
467.0	0.00498
467.2	0.00482
467.4	0.00467
467.6	0.00461
467.8	0.00464
468.0	0.00466
468.2	0.00482
468.4	0.00499
468.6	0.00513
468.8	0.00526
469.0	0.00538
469.2	0.00547
469.4	0.00555
469.6	0.00561
469.8	0.00563
470.0	0.00566
470.2	0.00562
470.4	0.00558
470.6	0.00554
470.8	0.0055
471.0	0.00546
471.2	0.0054
471.4	0.00535
471.6	0.00528
471.8	0.0052
472.0	0.00512
472.2	0.005
472.4	0.00487
472.6	0.00471
472.8	0.00451
473.0	0.00432
473.2	0.00403
473.4	0.00376
473.6	0.00346
473.8	0.00315
474.0	0.00287
474.2	0.00265
474.4	0.00245
474.6	0.00231
474.8	0.00221
475.0	0.00212
475.2	0.00219
475.4	0.00227
475.6	0.00243
475.8	0.00268
476.0	0.00296
476.2	0.00327
476.4	0.00361
476.6	0.00393
476.8	0.00423
477.0	0.00454
477.2	0.0047
477.4	0.00487
477.6	0.00497
477.8	0.00501
478.0	0.00504
478.2	0.00509
478.4	0.00513
478.6	0.00514
478.8	0.00512
479.0	0.0051
479.2	0.00508
479.4	0.00505
479.6	0.00502
479.8	0.00498
480.0	0.00494
480.2	0.00486
480.4	0.00479
480.6	0.00471
480.8	0.00461
481.0	0.00452
481.2	0.00428
481.4	0.00405
481.6	0.00374
481.8	0.00335
482.0	0.00301
482.2	0.00249
482.4	0.00207
482.6	0.00168
482.8	0.00135
483.0	0.00108
483.2	9.4177e-04
483.4	8.2452e-04
483.6	7.2754e-04
483.8	6.47e-04
484.0	5.7538e-04
484.2	5.5571e-04
484.4	5.3671e-04
484.6	5.2625e-04
484.8	5.2385e-04
485.0	5.2145e-04
485.2	5.2187e-04
485.4	5.2229e-04
485.6	5.4e-04
485.8	5.7677e-04
486.0	6.1605e-04
486.2	6.4916e-04
486.4	6.8404e-04
486.6	7.4568e-04
486.8	8.4094e-04
487.0	9.4836e-04
487.2	0.00106
487.4	0.00118
487.6	0.00134
487.8	0.00156
488.0	0.00181
488.2	0.00215
488.4	0.00256
488.6	0.00294
488.8	0.00325
489.0	0.0036
489.2	0.0039
489.4	0.00423
489.6	0.0046
489.8	0.00501
490.0	0.00545
490.2	0.00572
490.4	0.00601
490.6	0.00626
490.8	0.00646
491.0	0.00667
491.2	0.00682
491.4	0.00699
491.6	0.00713
491.8	0.00724
492.0	0.00736
492.2	0.00744
492.4	0.00752
492.6	0.00762
492.8	0.00774
493.0	0.00787
493.2	0.00802
493.4	0.00818
493.6	0.00827
493.8	0.00829
494.0	0.00832
494.2	0.00842
494.4	0.00852
494.6	0.00852
494.8	0.00839
495.0	0.00827
495.2	0.0081
495.4	0.00794
495.6	0.00777
495.8	0.00761
496.0	0.00746
496.2	0.00741
496.4	0.00737
496.6	0.00742
496.8	0.00757
497.0	0.00771
497.2	0.00805
497.4	0.0084
497.6	0.00885
497.8	0.00943
498.0	0.01004
498.2	0.01102
498.4	0.01209
498.6	0.01337
498.8	0.0149
499.0	0.01661
499.2	0.01868
499.4	0.02101
499.6	0.02378
499.8	0.02709
500.0	0.03086
500.2	0.03525
500.4	0.04027
500.6	0.04596
500.8	0.05243
501.0	0.05981
501.2	0.06795
501.4	0.07719
501.6	0.08719
501.8	0.09792
502.0	0.10996
502.2	0.12205
502.4	0.13547
502.6	0.15
502.8	0.16567
503.0	0.18298
503.2	0.20084
503.4	0.22045
503.6	0.24125
503.8	0.26322
504.0	0.28718
504.2	0.31151
504.4	0.3379
504.6	0.3643
504.8	0.39039
505.0	0.41834
505.2	0.44405
505.4	0.47134
505.6	0.49806
505.8	0.52392
506.0	0.55112
506.2	0.57598
506.4	0.60197
506.6	0.62692
506.8	0.65062
507.0	0.67521
507.2	0.69724
507.4	0.71999
507.6	0.7412
507.8	0.76068
508.0	0.78068
508.2	0.79764
508.4	0.81497
508.6	0.83103
508.8	0.84573
509.0	0.86069
509.2	0.87288
509.4	0.88525
509.6	0.89596
509.8	0.90497
510.0	0.91407
510.2	0.91862
510.4	0.9232
510.6	0.92624
510.8	0.92774
511.0	0.92924
511.2	0.92975
511.4	0.93026
511.6	0.93084
511.8	0.93148
512.0	0.93211
512.2	0.93244
512.4	0.93277
512.6	0.93283
512.8	0.93261
513.0	0.93239
513.2	0.93286
513.4	0.93334
513.6	0.93342
513.8	0.93311
514.0	0.9328
514.2	0.9326
514.4	0.93239
514.6	0.93249
514.8	0.93289
515.0	0.93329
515.2	0.93849
515.4	0.9391
515.6	0.93917
515.8	0.93836
516.0	0.93807
516.2	0.93788
516.4	0.93426
516.6	0.93441
516.8	0.93464
517.0	0.93558
517.2	0.93559
517.4	0.93519
517.6	0.93307
517.8	0.93305
518.0	0.93399
518.2	0.93447
518.4	0.93483
518.6	0.93595
518.8	0.93666
519.0	0.93741
519.2	0.93861
519.4	0.9404
519.6	0.94208
519.8	0.94396
520.0	0.94413
520.2	0.94473
520.4	0.94599
520.6	0.94605
520.8	0.94557
521.0	0.9454
521.2	0.94581
521.4	0.94415
521.6	0.94426
521.8	0.9418
522.0	0.94033
522.2	0.94
522.4	0.93991
522.6	0.94084
522.8	0.93994
523.0	0.93985
523.2	0.93866
523.4	0.93735
523.6	0.93773
523.8	0.93712
524.0	0.93811
524.2	0.93844
524.4	0.93567
524.6	0.93647
524.8	0.93858
525.0	0.94184
525.2	0.9414
525.4	0.94093
525.6	0.941
525.8	0.93987
526.0	0.94127
526.2	0.94184
526.4	0.942
526.6	0.94142
526.8	0.9399
527.0	0.93989
527.2	0.94057
527.4	0.93672
527.6	0.93666
527.8	0.93731
528.0	0.93616
528.2	0.93569
528.4	0.93503
528.6	0.93752
528.8	0.93815
529.0	0.93982
529.2	0.93911
529.4	0.93829
529.6	0.93847
529.8	0.93768
530.0	0.93857
530.2	0.93817
530.4	0.93914
530.6	0.94174
530.8	0.94367
531.0	0.94407
531.2	0.94365
531.4	0.94343
531.6	0.94534
531.8	0.94648
532.0	0.94656
532.2	0.94548
532.4	0.94638
532.6	0.94482
532.8	0.94434
533.0	0.94397
533.2	0.94197
533.4	0.93934
533.6	0.93892
533.8	0.93947
534.0	0.93655
534.2	0.93721
534.4	0.93549
534.6	0.93712
534.8	0.93502
535.0	0.93536
535.2	0.93491
535.4	0.93198
535.6	0.93135
535.8	0.93091
536.0	0.93293
536.2	0.93381
536.4	0.93425
536.6	0.93307
536.8	0.93465
537.0	0.93606
537.2	0.93601
537.4	0.93818
537.6	0.93908
537.8	0.9401
538.0	0.93956
538.2	0.94022
538.4	0.94059
538.6	0.9423
538.8	0.9426
539.0	0.9426
539.2	0.94223
539.4	0.94504
539.6	0.94511
539.8	0.94566
540.0	0.944
540.2	0.94286
540.4	0.94342
540.6	0.9403
540.8	0.94079
541.0	0.94248
541.2	0.94292
541.4	0.9436
541.6	0.94471
541.8	0.94405
542.0	0.94369
542.2	0.94419
542.4	0.94193
542.6	0.94201
542.8	0.9434
543.0	0.94176
543.2	0.94121
543.4	0.94175
543.6	0.9405
543.8	0.94257
544.0	0.9422
544.2	0.94276
544.4	0.94384
