Typical Measured Spectrum of Semrock FF01-550/49 Optical Filter		
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.		
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 		
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)		
375,8	2,04E-07	2,04E-05
376	2,47E-07	2,47E-05
376,2	3,00E-07	3,00E-05
376,4	3,64E-07	3,64E-05
376,6	4,41E-07	4,41E-05
376,8	5,35E-07	5,35E-05
377	6,49E-07	6,49E-05
377,2	7,87E-07	7,87E-05
377,4	9,54E-07	9,54E-05
377,6	1,16E-06	1,16E-04
377,8	1,40E-06	1,40E-04
378	1,70E-06	1,70E-04
378,2	1,78E-06	1,78E-04
378,4	1,62E-06	1,62E-04
378,6	1,48E-06	1,48E-04
378,8	1,36E-06	1,36E-04
379	1,24E-06	1,24E-04
379,2	1,13E-06	1,13E-04
379,4	1,04E-06	1,04E-04
379,6	9,48E-07	9,48E-05
379,8	8,66E-07	8,66E-05
380	7,92E-07	7,92E-05
380,2	7,24E-07	7,24E-05
380,4	6,62E-07	6,62E-05
380,6	6,05E-07	6,05E-05
380,8	5,53E-07	5,53E-05
381	5,06E-07	5,06E-05
381,2	4,62E-07	4,62E-05
381,4	4,23E-07	4,23E-05
381,6	3,86E-07	3,86E-05
381,8	3,53E-07	3,53E-05
382	3,58E-07	3,58E-05
382,2	3,66E-07	3,66E-05
382,4	3,74E-07	3,74E-05
382,6	3,83E-07	3,83E-05
382,8	3,91E-07	3,91E-05
383	4,00E-07	4,00E-05
383,2	4,09E-07	4,09E-05
383,4	4,18E-07	4,18E-05
383,6	4,27E-07	4,27E-05
383,8	4,36E-07	4,36E-05
384	4,46E-07	4,46E-05
384,2	4,56E-07	4,56E-05
384,4	4,66E-07	4,66E-05
384,6	4,76E-07	4,76E-05
384,8	4,87E-07	4,87E-05
385	4,98E-07	4,98E-05
385,2	5,09E-07	5,09E-05
385,4	5,20E-07	5,20E-05
385,6	5,06E-07	5,06E-05
385,8	4,47E-07	4,47E-05
386	3,95E-07	3,95E-05
386,2	3,49E-07	3,49E-05
386,4	3,09E-07	3,09E-05
386,6	2,73E-07	2,73E-05
386,8	2,41E-07	2,41E-05
387	2,13E-07	2,13E-05
387,2	1,89E-07	1,89E-05
387,4	1,67E-07	1,67E-05
387,6	1,47E-07	1,47E-05
387,8	1,30E-07	1,30E-05
388	1,15E-07	1,15E-05
388,2	1,02E-07	1,02E-05
388,4	9,01E-08	9,01E-06
388,6	7,96E-08	7,96E-06
388,8	7,04E-08	7,04E-06
389	6,22E-08	6,22E-06
389,2	5,50E-08	5,50E-06
389,4	5,68E-08	5,68E-06
389,6	6,17E-08	6,17E-06
389,8	6,70E-08	6,70E-06
390	7,28E-08	7,28E-06
390,2	7,90E-08	7,90E-06
390,4	8,58E-08	8,58E-06
390,6	9,32E-08	9,32E-06
390,8	1,01E-07	1,01E-05
391	1,10E-07	1,10E-05
391,2	1,19E-07	1,19E-05
391,4	1,30E-07	1,30E-05
391,6	1,41E-07	1,41E-05
391,8	1,53E-07	1,53E-05
392	1,66E-07	1,66E-05
392,2	1,56E-07	1,56E-05
392,4	1,46E-07	1,46E-05
392,6	1,36E-07	1,36E-05
392,8	1,28E-07	1,28E-05
393	1,17E-07	1,17E-05
393,2	1,05E-07	1,05E-05
393,4	9,44E-08	9,44E-06
393,6	8,49E-08	8,49E-06
393,8	7,63E-08	7,63E-06
394	6,86E-08	6,86E-06
394,2	6,16E-08	6,16E-06
394,4	5,54E-08	5,54E-06
394,6	4,98E-08	4,98E-06
394,8	4,48E-08	4,48E-06
395	4,02E-08	4,02E-06
395,2	3,62E-08	3,62E-06
395,4	3,25E-08	3,25E-06
395,6	2,92E-08	2,92E-06
395,8	2,63E-08	2,63E-06
396	2,36E-08	2,36E-06
396,2	2,12E-08	2,12E-06
396,4	1,91E-08	1,91E-06
396,6	1,72E-08	1,72E-06
396,8	1,70E-08	1,70E-06
397	1,68E-08	1,68E-06
397,2	1,66E-08	1,66E-06
397,4	1,65E-08	1,65E-06
397,6	1,64E-08	1,64E-06
397,8	1,62E-08	1,62E-06
398	1,61E-08	1,61E-06
398,2	1,59E-08	1,59E-06
398,4	1,58E-08	1,58E-06
398,6	1,56E-08	1,56E-06
398,8	1,55E-08	1,55E-06
399	1,54E-08	1,54E-06
399,2	1,52E-08	1,52E-06
399,4	1,51E-08	1,51E-06
399,6	1,49E-08	1,49E-06
399,8	1,48E-08	1,48E-06
400	1,47E-08	1,47E-06
400,2	1,45E-08	1,45E-06
400,4	1,44E-08	1,44E-06
400,6	1,43E-08	1,43E-06
400,8	1,42E-08	1,42E-06
401	1,40E-08	1,40E-06
401,2	1,39E-08	1,39E-06
401,4	1,38E-08	1,38E-06
401,6	1,37E-08	1,37E-06
401,8	1,36E-08	1,36E-06
402	1,34E-08	1,34E-06
402,2	1,33E-08	1,33E-06
402,4	1,32E-08	1,32E-06
402,6	1,31E-08	1,31E-06
402,8	1,30E-08	1,30E-06
403	1,29E-08	1,29E-06
403,2	1,28E-08	1,28E-06
403,4	1,26E-08	1,26E-06
403,6	1,25E-08	1,25E-06
403,8	1,24E-08	1,24E-06
404	1,23E-08	1,23E-06
404,2	1,35E-08	1,35E-06
404,4	1,49E-08	1,49E-06
404,6	1,66E-08	1,66E-06
404,8	1,84E-08	1,84E-06
405	2,04E-08	2,04E-06
405,2	2,27E-08	2,27E-06
405,4	2,52E-08	2,52E-06
405,6	2,80E-08	2,80E-06
405,8	3,11E-08	3,11E-06
406	3,45E-08	3,45E-06
406,2	3,83E-08	3,83E-06
406,4	4,25E-08	4,25E-06
406,6	4,72E-08	4,72E-06
406,8	5,24E-08	5,24E-06
407	5,81E-08	5,81E-06
407,2	6,45E-08	6,45E-06
407,4	7,17E-08	7,17E-06
407,6	7,95E-08	7,95E-06
407,8	8,57E-08	8,57E-06
408	8,64E-08	8,64E-06
408,2	8,71E-08	8,71E-06
408,4	8,79E-08	8,79E-06
408,6	8,86E-08	8,86E-06
408,8	8,94E-08	8,94E-06
409	9,02E-08	9,02E-06
409,2	9,09E-08	9,09E-06
409,4	9,17E-08	9,17E-06
409,6	9,25E-08	9,25E-06
409,8	9,33E-08	9,33E-06
410	9,41E-08	9,41E-06
410,2	9,49E-08	9,49E-06
410,4	9,57E-08	9,57E-06
410,6	9,65E-08	9,65E-06
410,8	9,73E-08	9,73E-06
411	9,81E-08	9,81E-06
411,2	9,90E-08	9,90E-06
411,4	9,98E-08	9,98E-06
411,6	1,00E-07	1,00E-05
411,8	1,00E-07	1,00E-05
412	1,00E-07	1,00E-05
412,2	1,00E-07	1,00E-05
412,4	1,00E-07	1,00E-05
412,6	1,00E-07	1,00E-05
412,8	1,00E-07	1,00E-05
413	1,00E-07	1,00E-05
413,2	1,00E-07	1,00E-05
413,4	1,00E-07	1,00E-05
413,6	1,00E-07	1,00E-05
413,8	1,00E-07	1,00E-05
414	1,00E-07	1,00E-05
414,2	1,00E-07	1,00E-05
414,4	1,00E-07	1,00E-05
414,6	1,00E-07	1,00E-05
414,8	1,00E-07	1,00E-05
415	1,00E-07	1,00E-05
415,2	1,00E-07	1,00E-05
415,4	1,00E-07	1,00E-05
415,6	1,00E-07	1,00E-05
415,8	1,00E-07	1,00E-05
416	1,00E-07	1,00E-05
416,2	1,00E-07	1,00E-05
416,4	1,00E-07	1,00E-05
416,6	1,00E-07	1,00E-05
416,8	1,00E-07	1,00E-05
417	1,00E-07	1,00E-05
417,2	1,00E-07	1,00E-05
417,4	1,00E-07	1,00E-05
417,6	1,00E-07	1,00E-05
417,8	1,00E-07	1,00E-05
418	1,00E-07	1,00E-05
418,2	1,00E-07	1,00E-05
418,4	1,00E-07	1,00E-05
418,6	1,00E-07	1,00E-05
418,8	1,00E-07	1,00E-05
419	9,40E-08	9,40E-06
419,2	8,66E-08	8,66E-06
419,4	7,98E-08	7,98E-06
419,6	7,35E-08	7,35E-06
419,8	6,77E-08	6,77E-06
420	6,23E-08	6,23E-06
420,2	5,74E-08	5,74E-06
420,4	5,29E-08	5,29E-06
420,6	4,87E-08	4,87E-06
420,8	4,49E-08	4,49E-06
421	4,14E-08	4,14E-06
421,2	3,81E-08	3,81E-06
421,4	3,51E-08	3,51E-06
421,6	3,23E-08	3,23E-06
421,8	2,98E-08	2,98E-06
422	2,74E-08	2,74E-06
422,2	2,53E-08	2,53E-06
422,4	2,33E-08	2,33E-06
422,6	2,24E-08	2,24E-06
