XF2044,490-575DBDR
Wavelength (nm),%T
1100.042847,72.65514374
1098.989014,77.98605347
1098.051514,55.77412796
1096.996094,61.07551956
1096.057129,54.05303955
1095,60.58747864
1093.942139,61.84942627
1093.000977,83.15116882
1091.941406,76.12984467
1090.998901,63.25252533
1090.055664,80.66811371
1088.993652,83.97241974
1088.049072,69.93572235
1086.985474,76.91794586
1086.039429,79.28430176
1084.974365,80.34780884
1084.026855,77.49554443
1082.960083,74.37104797
1082.01123,73.08740997
1080.942871,70.07905579
1079.992554,64.81422424
1079.041504,79.15991974
1077.970825,78.4384613
1077.018433,85.01498413
1075.946167,77.09802246
1074.99231,83.57424927
1074.037842,75.03632355
1072.963257,90.07002258
1072.007324,78.10240936
1071.050781,72.94179535
1069.973877,85.00062561
1069.015991,83.87805939
1068.057373,80.92427826
1066.978149,83.41337585
1066.018066,76.02861786
1065.057373,80.35321045
1063.97583,72.639328
1063.013794,85.27087402
1062.051025,77.32418823
1060.967285,83.51072693
1060.003174,79.20323944
1059.03833,74.59688568
1057.952148,77.05063629
1056.986084,74.76620483
1056.019287,69.94829559
1055.051758,76.21774292
1053.962646,71.94171906
1052.993774,71.79115295
1052.024292,73.73774719
1051.054199,75.13005829
1049.961914,69.44784546
1048.990479,68.0842514
1048.018311,70.64353943
1047.045532,68.78355408
1045.950317,65.77848816
1044.976074,64.25140381
1044.001343,68.89748383
1043.025879,67.10444641
1042.049683,67.24969482
1040.950806,68.1163559
1039.973389,65.11449432
1038.995239,63.00251389
1038.016479,64.68830872
1037.037109,66.07498932
1036.057007,65.31034851
1034.953735,69.29853821
1033.97229,68.01261139
1032.990356,66.86297607
1032.00769,68.99443054
1031.024292,67.66558838
1030.040405,67.54165649
1029.055786,71.17903137
1027.947388,68.56990814
1026.961548,70.35533142
1025.974976,69.521492
1024.987793,69.77377319
1023.999939,73.24518585
1023.011475,72.97092438
1022.0224,73.89071655
1021.032715,75.31017303
1020.042358,76.05732727
1019.051392,75.4603653
1018.059753,77.41287231
