Typical Measured Spectrum of Semrock FF01-457/530/628 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
322.2	6.2325e-07
322.4	5.1405e-07
322.6	4.2399e-07
322.8	3.497e-07
323.0	2.8843e-07
323.2	2.379e-07
323.4	1.9622e-07
323.6	1.6184e-07
323.8	1.3348e-07
324.0	1.2559e-07
324.2	1.2333e-07
324.4	1.2111e-07
324.6	1.1893e-07
324.8	1.1679e-07
325.0	1.1469e-07
325.2	1.1262e-07
325.4	1.1059e-07
325.6	1.086e-07
325.8	1.0665e-07
326.0	1.2195e-07
326.2	1.5642e-07
326.4	2.0064e-07
326.6	2.5736e-07
326.8	3.3011e-07
327.0	4.2343e-07
327.2	5.4312e-07
327.4	6.9665e-07
327.6	8.9358e-07
327.8	1.1462e-06
328.0	1.2985e-06
328.2	1.2113e-06
328.4	1.13e-06
328.6	1.0542e-06
328.8	9.834e-07
329.0	9.1738e-07
329.2	8.558e-07
329.4	7.9836e-07
329.6	7.4477e-07
329.8	6.9477e-07
330.0	6.3675e-07
330.2	5.0178e-07
330.4	3.9542e-07
330.6	3.116e-07
330.8	2.4555e-07
331.0	1.935e-07
331.2	1.5248e-07
331.4	1.2016e-07
331.6	9.4691e-08
331.8	7.462e-08
332.0	9.5604e-08
332.2	1.2533e-07
332.4	1.6429e-07
332.6	2.1537e-07
332.8	2.8233e-07
333.0	3.701e-07
333.2	4.8517e-07
333.4	6.3601e-07
333.6	8.3374e-07
333.8	1.093e-06
334.0	9.2996e-07
334.2	6.9797e-07
334.4	5.2385e-07
334.6	3.9316e-07
334.8	2.9508e-07
335.0	2.2147e-07
335.2	1.6622e-07
335.4	1.2475e-07
335.6	9.3632e-08
335.8	7.0274e-08
336.0	7.0371e-08
336.2	8.5405e-08
336.4	1.0365e-07
336.6	1.2579e-07
336.8	1.5267e-07
337.0	1.8528e-07
337.2	2.2487e-07
337.4	2.7291e-07
337.6	3.3121e-07
337.8	4.0197e-07
338.0	4.1538e-07
338.2	3.4531e-07
338.4	2.8706e-07
338.6	2.3864e-07
338.8	1.9838e-07
339.0	1.6492e-07
339.2	1.371e-07
339.4	1.1397e-07
339.6	9.4747e-08
339.8	7.8764e-08
340.0	6.8456e-08
340.2	8.1234e-08
340.4	9.6397e-08
340.6	1.1439e-07
340.8	1.3574e-07
341.0	1.6108e-07
341.2	1.9114e-07
341.4	2.2682e-07
341.6	2.6916e-07
341.8	3.194e-07
342.0	2.7181e-07
342.2	2.2292e-07
342.4	1.8282e-07
342.6	1.4994e-07
342.8	1.2297e-07
343.0	1.0085e-07
343.2	8.2709e-08
343.4	6.7832e-08
343.6	5.5631e-08
343.8	4.5624e-08
344.0	4.303e-08
344.2	4.2793e-08
344.4	4.2556e-08
344.6	4.2321e-08
344.8	4.2088e-08
345.0	4.1855e-08
345.2	4.1624e-08
345.4	4.1394e-08
345.6	4.1166e-08
345.8	4.0939e-08
346.0	4.336e-08
346.2	4.8305e-08
346.4	5.3814e-08
346.6	5.995e-08
346.8	6.6787e-08
347.0	7.4403e-08
347.2	8.2888e-08
347.4	9.234e-08
347.6	1.0287e-07
347.8	1.146e-07
348.0	1.2484e-07
348.2	1.3121e-07
348.4	1.3791e-07
348.6	1.4495e-07
348.8	1.5234e-07
349.0	1.6012e-07
349.2	1.6829e-07
349.4	1.7687e-07
349.6	1.859e-07
349.8	1.9539e-07
350.0	2.0037e-07
350.2	1.6841e-07
350.4	1.4155e-07
350.6	1.1898e-07
350.8	1.0e-07
351.0	8.4051e-08
351.2	7.0645e-08
351.4	5.9378e-08
351.6	4.9907e-08
351.8	4.1948e-08
352.0	4.1282e-08
352.2	4.1267e-08
352.4	4.1251e-08
352.6	4.1236e-08
352.8	4.122e-08
353.0	4.1204e-08
353.2	4.1189e-08
353.4	4.1173e-08
353.6	4.1158e-08
353.8	4.1142e-08
354.0	4.7942e-08
354.2	5.8958e-08
354.4	7.2506e-08
354.6	8.9167e-08
354.8	1.0966e-07
355.0	1.3485e-07
355.2	1.6584e-07
355.4	2.0395e-07
355.6	2.5082e-07
355.8	3.0845e-07
356.0	2.982e-07
356.2	2.4131e-07
356.4	1.9528e-07
356.6	1.5803e-07
356.8	1.2788e-07
357.0	1.0349e-07
357.2	8.3744e-08
357.4	6.7768e-08
357.6	5.484e-08
357.8	4.4379e-08
358.0	3.9108e-08
358.2	3.8961e-08
358.4	3.8815e-08
358.6	3.8669e-08
358.8	3.8523e-08
359.0	3.8378e-08
359.2	3.8234e-08
359.4	3.809e-08
359.6	3.7947e-08
359.8	3.7804e-08
360.0	3.7637e-08
360.2	3.7298e-08
360.4	3.6962e-08
360.6	3.6629e-08
360.8	3.6299e-08
361.0	3.5972e-08
361.2	3.5648e-08
361.4	3.5327e-08
361.6	3.5009e-08
361.8	3.4694e-08
362.0	4.1855e-08
362.2	5.1307e-08
362.4	6.2894e-08
362.6	7.7096e-08
362.8	9.4506e-08
363.0	1.1585e-07
363.2	1.4201e-07
363.4	1.7408e-07
363.6	2.1339e-07
363.8	2.6158e-07
364.0	2.3468e-07
364.2	1.9131e-07
364.4	1.5595e-07
364.6	1.2713e-07
364.8	1.0363e-07
365.0	8.4479e-08
365.2	6.8865e-08
365.4	5.6137e-08
365.6	4.5762e-08
365.8	3.7304e-08
366.0	3.4364e-08
366.2	3.4343e-08
366.4	3.4323e-08
366.6	3.4303e-08
366.8	3.4282e-08
367.0	3.4262e-08
367.2	3.4242e-08
367.4	3.4221e-08
367.6	3.4201e-08
367.8	3.4181e-08
368.0	3.7357e-08
368.2	4.5649e-08
368.4	5.5782e-08
368.6	6.8163e-08
368.8	8.3292e-08
369.0	1.0178e-07
369.2	1.2437e-07
369.4	1.5198e-07
369.6	1.8571e-07
369.8	2.2693e-07
370.0	2.6068e-07
370.2	2.0802e-07
370.4	1.66e-07
370.6	1.3246e-07
370.8	1.057e-07
371.0	8.4348e-08
371.2	6.7309e-08
371.4	5.3711e-08
371.6	4.286e-08
371.8	3.4202e-08
372.0	3.7592e-08
372.2	4.273e-08
372.4	4.8571e-08
372.6	5.521e-08
372.8	6.2756e-08
373.0	7.1334e-08
373.2	8.1084e-08
373.4	9.2167e-08
373.6	1.0476e-07
373.8	1.1908e-07
374.0	1.3536e-07
374.2	1.5386e-07
374.4	1.749e-07
374.6	1.8443e-07
374.8	1.9241e-07
