607_80EM BP.csv	111346	Gabriele Dröscher	08.12.2009 13:53	Lambda 19 UV/Vis	2023	Rev. 9B/9C
nm	%T					
300	-0,00156					
301	-0,008559					
302	-0,004818					
303	-0,000963					
304	-0,00226					
305	-0,000994					
306	0,001265					
307	-0,002456					
308	-0,002524					
309	-0,002266					
310	0,00085					
311	-0,003917					
312	-0,006588					
313	-0,005365					
314	-0,002281					
315	-0,000987					
316	-0,007378					
317	-0,010059					
318	-0,013523					
319	-0,011577					
320	-0,001685					
321	0,000177					
322	0,000587					
323	-0,007235					
324	-0,005817					
325	0,001863					
326	-0,000215					
327	-0,003149					
328	0,001105					
329	0,004703					
330	0,003257					
331	-0,000046					
332	0,000754					
333	-0,001038					
334	-0,004454					
335	-0,000397					
336	0,003751					
337	0,000846					
338	-0,000213					
339	-0,00056					
340	-0,000101					
341	0,002069					
342	-0,000459					
343	-0,001548					
344	0,001169					
345	0,003031					
346	-0,004774					
347	-0,003264					
348	0,003233					
349	0,003993					
350	0,000743					
351	-0,002022					
352	0,003912					
353	0,00257					
354	-0,006966					
355	-0,001264					
356	0,001965					
357	-0,004642					
358	-0,00147					
359	-0,000094					
360	0,00002					
361	-0,002692					
362	-0,004458					
363	-0,002797					
364	-0,003265					
365	-0,007819					
366	-0,0068					
367	-0,005911					
368	-0,003484					
369	-0,003676					
370	-0,011715					
371	-0,011207					
372	-0,013421					
373	-0,017025					
374	-0,022954					
375	-0,023581					
376	-0,021478					
377	-0,022597					
378	-0,006769					
379	0,005373					
380	0,005822					
381	-0,001371					
382	0,000035					
383	0,003072					
384	0,002209					
385	0,00143					
386	-0,00031					
387	0,000127					
388	-0,000449					
389	0,003568					
390	0,002867					
391	-0,001208					
392	0,000892					
393	0,001733					
394	0,002307					
395	0,001923					
396	-0,006206					
397	-0,00031					
398	0,003437					
399	-0,000993					
400	-0,001044					
401	-0,002427					
402	0,003008					
403	0,00411					
404	-0,004567					
405	-0,000862					
406	0,002257					
407	0,00145					
408	0,00271					
409	-0,001124					
410	-0,000466					
411	0,001888					
412	-0,001801					
413	-0,0016					
414	0,002142					
415	0,001651					
416	0,002868					
417	-0,00163					
418	0,002752					
419	0,002587					
420	-0,002026					
421	0,001871					
422	0,002123					
423	-0,002654					
424	-0,005243					
425	0,001049					
426	0,005191					
427	-0,000476					
428	-0,00212					
429	0,005372					
430	0,002485					
431	-0,001122					
432	-0,0009					
433	0,002661					
434	0,003613					
435	-0,005651					
436	-0,001026					
437	0,004057					
438	-0,001528					
439	-0,002355					
440	0,00451					
441	0,002639					
442	0,002098					
443	0,00269					
444	0,006878					
445	0,006235					
446	0,004514					
447	0,007554					
448	0,007232					
449	0,007271					
450	0,00594					
451	0,006605					
452	0,010554					
453	0,006965					
454	0,009919					
455	0,007597					
456	0,007655					
457	0,008881					
458	-0,003111					
459	0,000577					
460	0,000506					
461	-0,004404					
462	-0,000559					
463	-0,004142					
464	-0,004606					
465	-0,003984					
466	-0,008041					
467	-0,005732					
468	-0,003483					
469	-0,007971					
470	-0,006492					
471	-0,006835					
472	-0,003399					
473	-0,003043					
474	-0,009207					
475	-0,004945					
476	-0,002363					
477	-0,005481					
478	-0,012019					
479	-0,007011					
480	0,001529					
481	0,004141					
482	-0,002729					
483	0,003315					
484	0,007309					
485	0,004917					
486	0,003485					
487	0,008368					
488	0,013817					
489	0,006152					
490	0,008681					
491	0,017628					
492	0,017952					
493	0,010984					
494	0,012091					
495	0,012338					
496	0,010711					
497	0,003621					
498	0,00641					
499	0,00629					
500	0,000596					
501	-0,001674					
502	-0,000949					
503	-0,004578					
504	-0,005926					
505	-0,00779					
506	-0,008					
507	-0,006832					
508	-0,005906					
509	-0,008099					
510	-0,007501					
511	-0,006289					
512	-0,010477					
513	-0,008758					
514	-0,003165					
515	-0,002466					
516	-0,001617					
517	-0,005417					
518	-0,002432					
519	-0,00378					
520	-0,006736					
521	-0,005361					
522	-0,001324					
523	-0,004234					
524	-0,000581					
525	-0,005127					
526	-0,004312					
527	-0,001016					
528	-0,006673					
529	-0,001762					
530	-0,000212					
531	-0,003015					
532	-0,003384					
533	-0,004557					
534	0,00028					
535	0,00199					
536	-0,002152					
537	-0,00258					
538	-0,000466					
539	-0,002855					
540	-0,007557					
541	-0,002162					
542	0,002311					
543	-0,004976					
544	-0,007156					
545	0,002017					
546	0,002634					
547	-0,002322					
548	-0,004994					
549	-0,000639					
550	0,000316					
551	-0,007603					
552	-0,002343					
553	0,003962					
554	-0,000458					
555	0,001795					
556	0,005139					
557	0,003845					
558	0,008781					
559	0,034249					
560	0,129034					
561	0,542995					
562	2,245437					
563	14,21979					
564	51,945102					
565	88,41567					
566	95,006102					
567	95,574868					
568	95,501834					
569	96,274653					
570	96,894866					
571	97,090212					
572	97,082561					
573	96,734807					
574	96,31238					
575	96,205607					
576	96,371454					
577	96,884409					
578	97,293246					
579	97,649494					
580	97,73941					
581	97,343802					
582	96,811998					
583	96,656665					
584	96,720058					
585	96,953142					
586	97,418028					
587	97,785994					
588	97,654468					
589	97,475636					
590	97,159839					
591	97,066414					
592	96,94171					
593	97,136039					
594	97,617006					
595	97,70827					
596	97,813135					
597	97,518703					
598	97,300184					
599	97,207537					
600	97,113574					
601	97,094265					
602	97,220337					
603	97,289798					
604	97,291285					
605	97,347301					
606	97,365928					
607	97,384968					
608	97,312325					
609	97,338778					
610	97,486478					
611	97,374937					
612	97,059095					
613	96,935982					
614	96,786797					
615	96,926129					
616	97,022611					
617	97,352082					
618	97,489381					
619	97,162342					
620	96,626168					
621	96,440038					
