X111	X112	X121	X122	X211	X212	X221	X222	E111	E112	E121	E122	E211	E212	E221	E222	EX1	DIC1	EM1	EX2	DIC2	EM2
0.929168	0.981922	0.070832	0.018078	0.000357	0.001477	0.999643	0.998523	0.000388	14.263656	0.000030	0.262612	0.000000	0.018184	0.001384	12.292450	0	0	6	0	0	1
1.000000	0.981922	0.000000	0.018078	0.994594	0.001477	0.005406	0.998523	25.134895	14.263656	0.000004	0.262612	0.032042	0.018184	0.000174	12.292450	0	0	7	0	0	1
0.776952	0.981922	0.223048	0.018078	0.000095	0.001477	0.999905	0.998523	1.170035	14.263656	0.335895	0.262612	0.001492	0.018184	15.722675	12.292450	0	0	8	0	0	1
1.000000	0.981922	0.000000	0.018078	0.999182	0.001477	0.000818	0.998523	21.003462	14.263656	0.000000	0.262612	0.026776	0.018184	0.000022	12.292450	0	0	9	0	0	1
0.753665	0.981922	0.246335	0.018078	0.000083	0.001477	0.999917	0.998523	0.730689	14.263656	0.238825	0.262612	0.000931	0.018184	11.178995	12.292450	0	0	10	0	0	1
0.937920	0.981922	0.062080	0.018078	0.000411	0.001477	0.999589	0.998523	0.000479	14.263656	0.000032	0.262612	0.000001	0.018184	0.001483	12.292450	0	0	11	0	0	1
1.000000	0.981922	0.000000	0.018078	0.990061	0.001477	0.009939	0.998523	14.324270	14.263656	0.000004	0.262612	0.018261	0.018184	0.000183	12.292450	0	0	12	0	0	1
0.769850	0.981922	0.230150	0.018078	0.000091	0.001477	0.999909	0.998523	1.097756	14.263656	0.328179	0.262612	0.001399	0.018184	15.361513	12.292450	0	0	13	0	0	1
0.984770	0.981922	0.015230	0.018078	0.001758	0.001477	0.998242	0.998523	21.621185	14.263656	0.334382	0.262612	0.027563	0.018184	15.651848	12.292450	0	0	14	0	0	1
0.989698	0.981922	0.010302	0.018078	0.002609	0.001477	0.997391	0.998523	21.938278	14.263656	0.228369	0.262612	0.027967	0.018184	10.689586	12.292450	0	0	15	0	0	1
0.985858	0.981922	0.014142	0.018078	0.001895	0.001477	0.998105	0.998523	15.374403	14.263656	0.220550	0.262612	0.019600	0.018184	10.323564	12.292450	0	0	16	0	0	1
1.000000	0.981922	0.000000	0.018078	0.991264	0.001477	0.008736	0.998523	16.316517	14.263656	0.000004	0.262612	0.020801	0.018184	0.000183	12.292450	0	0	17	0	0	1
1.000000	0.981922	0.000000	0.018078	0.991703	0.001477	0.008297	0.998523	17.187129	14.263656	0.000004	0.262612	0.021910	0.018184	0.000183	12.292450	0	0	18	0	0	1
0.817568	0.981922	0.182432	0.018078	0.000122	0.001477	0.999878	0.998523	0.833430	14.263656	0.185971	0.262612	0.001062	0.018184	8.705010	12.292450	0	0	19	0	0	1
0.785454	0.981922	0.214546	0.018078	0.000100	0.001477	0.999900	0.998523	1.057340	14.263656	0.288812	0.262612	0.001348	0.018184	13.518815	12.292450	0	0	20	0	0	1
