X111	X112	X121	X122	X211	X212	X221	X222	E111	E112	E121	E122	E211	E212	E221	E222	EX1	DIC1	EM1	EX2	DIC2	EM2
1.000000	0.748392	0.000000	0.251608	0.994549	0.000094	0.005451	0.999906	10.236603	0.475300	0.000002	0.159795	0.028349	0.001316	0.000155	13.929435	0	3	0	0	2	0
1.000000	0.748220	0.000000	0.251780	0.992810	0.000094	0.007190	0.999906	9.121371	0.479041	0.000002	0.161200	0.025064	0.001316	0.000182	13.929435	0	4	0	0	2	0
1.000000	0.748267	0.000000	0.251733	0.994595	0.000094	0.005405	0.999906	10.973574	0.477960	0.000002	0.160796	0.030221	0.001316	0.000164	13.929435	0	5	0	0	2	0
1.000000	0.748253	0.000000	0.251747	0.993104	0.000094	0.006896	0.999906	9.212649	0.478580	0.000002	0.161017	0.025339	0.001316	0.000176	13.929435	0	6	0	0	2	0
1.000000	0.748427	0.000000	0.251573	0.994449	0.000094	0.005551	0.999906	10.624305	0.475926	0.000002	0.159975	0.029384	0.001316	0.000164	13.929435	0	7	0	0	2	0
1.000000	0.748267	0.000000	0.251733	0.994595	0.000094	0.005405	0.999906	10.973574	0.477960	0.000002	0.160796	0.030221	0.001316	0.000164	13.929435	0	8	0	0	2	0
1.000000	0.748237	0.000000	0.251763	0.994550	0.000094	0.005450	0.999906	10.575708	0.470186	0.000002	0.158206	0.029607	0.001316	0.000162	13.929435	0	9	0	0	2	0
1.000000	0.748271	0.000000	0.251729	0.994217	0.000094	0.005783	0.999906	8.353928	0.477621	0.000002	0.160679	0.023023	0.001316	0.000134	13.929435	0	10	0	0	2	0
1.000000	0.748337	0.000000	0.251663	0.995863	0.000094	0.004137	0.999906	10.809142	0.479947	0.000001	0.161405	0.029645	0.001316	0.000123	13.929435	0	11	0	0	2	0
1.000000	0.748337	0.000000	0.251663	0.995863	0.000094	0.004137	0.999906	10.809142	0.479947	0.000001	0.161405	0.029645	0.001316	0.000123	13.929435	0	12	0	0	2	0
1.000000	0.753971	0.000000	0.246029	0.993911	0.000097	0.006089	0.999903	9.189198	0.395960	0.000002	0.129206	0.024949	0.001075	0.000153	11.032845	0	0	0	0	3	0
1.000000	0.754027	0.000000	0.245973	0.993493	0.000097	0.006507	0.999903	9.242490	0.400429	0.000002	0.130625	0.024813	0.001075	0.000163	11.032845	0	1	0	0	3	0
1.000000	0.753935	0.000000	0.246065	0.992856	0.000097	0.007144	0.999903	8.880569	0.396034	0.000002	0.129256	0.024106	0.001075	0.000173	11.032845	0	2	0	0	3	0
1.000000	0.754125	0.000000	0.245875	0.994549	0.000097	0.005451	0.999903	10.236603	0.394047	0.000002	0.128475	0.027927	0.001075	0.000153	11.032845	0	3	0	0	3	0
1.000000	0.753956	0.000000	0.246044	0.992810	0.000097	0.007190	0.999903	9.121371	0.397149	0.000002	0.129605	0.024690	0.001075	0.000179	11.032845	0	4	0	0	3	0
1.000000	0.754002	0.000000	0.245998	0.994595	0.000097	0.005405	0.999903	10.973574	0.396253	0.000002	0.129280	0.029771	0.001075	0.000162	11.032845	0	5	0	0	3	0
1.000000	0.753988	0.000000	0.246012	0.993104	0.000097	0.006896	0.999903	9.212649	0.396767	0.000002	0.129457	0.024962	0.001075	0.000173	11.032845	0	6	0	0	3	0
1.000000	0.754160	0.000000	0.245840	0.994449	0.000097	0.005551	0.999903	10.624305	0.394566	0.000002	0.128620	0.028947	0.001075	0.000162	11.032845	0	7	0	0	3	0
1.000000	0.754002	0.000000	0.245998	0.994595	0.000097	0.005405	0.999903	10.973574	0.396253	0.000002	0.129280	0.029771	0.001075	0.000162	11.032845	0	8	0	0	3	0
1.000000	0.753972	0.000000	0.246028	0.994550	0.000097	0.005450	0.999903	10.575708	0.389808	0.000002	0.127198	0.029166	0.001075	0.000160	11.032845	0	9	0	0	3	0
1.000000	0.754006	0.000000	0.245994	0.994217	0.000097	0.005783	0.999903	8.353928	0.395972	0.000002	0.129186	0.022680	0.001075	0.000132	11.032845	0	10	0	0	3	0
1.000000	0.754071	0.000000	0.245929	0.995862	0.000097	0.004138	0.999903	10.809142	0.397900	0.000001	0.129769	0.029204	0.001075	0.000121	11.032845	0	11	0	0	3	0
1.000000	0.754071	0.000000	0.245929	0.995862	0.000097	0.004138	0.999903	10.809142	0.397900	0.000001	0.129769	0.029204	0.001075	0.000121	11.032845	0	12	0	0	3	0
1.000000	0.748919	0.000000	0.251081	0.993912	0.000095	0.006088	0.999905	9.189198	0.492536	0.000002	0.165127	0.024910	0.001335	0.000153	14.077181	0	0	0	0	4	0
1.000000	0.748976	0.000000	0.251024	0.993494	0.000095	0.006506	0.999905	9.242490	0.498096	0.000002	0.166940	0.024775	0.001335	0.000162	14.077181	0	1	0	0	4	0
1.000000	0.748882	0.000000	0.251118	0.992856	0.000095	0.007144	0.999905	8.880569	0.492629	0.000002	0.165191	0.024069	0.001335	0.000173	14.077181	0	2	0	0	4	0
1.000000	0.749075	0.000000	0.250925	0.994550	0.000095	0.005450	0.999905	10.236603	0.490158	0.000002	0.164193	0.027884	0.001335	0.000153	14.077181	0	3	0	0	4	0
1.000000	0.748903	0.000000	0.251097	0.992811	0.000095	0.007189	0.999905	9.121371	0.494016	0.000002	0.165637	0.024652	0.001335	0.000179	14.077181	0	4	0	0	4	0
1.000000	0.748950	0.000000	0.251050	0.994595	0.000095	0.005405	0.999905	10.973574	0.492901	0.000002	0.165222	0.029725	0.001335	0.000162	14.077181	0	5	0	0	4	0
1.000000	0.748936	0.000000	0.251064	0.993104	0.000095	0.006896	0.999905	9.212649	0.493540	0.000002	0.165448	0.024923	0.001335	0.000173	14.077181	0	6	0	0	4	0
1.000000	0.749110	0.000000	0.250890	0.994449	0.000095	0.005551	0.999905	10.624305	0.490803	0.000002	0.164378	0.028902	0.001335	0.000161	14.077181	0	7	0	0	4	0
1.000000	0.748950	0.000000	0.251050	0.994595	0.000095	0.005405	0.999905	10.973574	0.492901	0.000002	0.165222	0.029725	0.001335	0.000162	14.077181	0	8	0	0	4	0
1.000000	0.748920	0.000000	0.251080	0.994551	0.000095	0.005449	0.999905	10.575708	0.484884	0.000002	0.162560	0.029121	0.001335	0.000160	14.077181	0	9	0	0	4	0
1.000000	0.748954	0.000000	0.251046	0.994217	0.000095	0.005783	0.999905	8.353928	0.492552	0.000002	0.165101	0.022645	0.001335	0.000132	14.077181	0	10	0	0	4	0
1.000000	0.749020	0.000000	0.250980	0.995863	0.000095	0.004137	0.999905	10.809142	0.494950	0.000001	0.165847	0.029159	0.001335	0.000121	14.077181	0	11	0	0	4	0
1.000000	0.749020	0.000000	0.250980	0.995863	0.000095	0.004137	0.999905	10.809142	0.494950	0.000001	0.165847	0.029159	0.001335	0.000121	14.077181	0	12	0	0	4	0
1.000000	0.748991	0.000000	0.251009	0.993911	0.000095	0.006089	0.999905	9.189198	0.510444	0.000002	0.171065	0.026852	0.001492	0.000165	15.722675	0	0	0	0	5	0
1.000000	0.749047	0.000000	0.250953	0.993493	0.000095	0.006507	0.999905	9.242490	0.516206	0.000002	0.172944	0.026706	0.001492	0.000175	15.722675	0	1	0	0	5	0
1.000000	0.748953	0.000000	0.251047	0.992855	0.000095	0.007145	0.999905	8.880569	0.510540	0.000002	0.171131	0.025945	0.001492	0.000187	15.722675	0	2	0	0	5	0
1.000000	0.749147	0.000000	0.250853	0.994549	0.000095	0.005451	0.999905	10.236603	0.507979	0.000002	0.170098	0.030058	0.001492	0.000165	15.722675	0	3	0	0	5	0
