lambda_chroma_dic505dcxr	chroma_dic505dcxr
587.00	9.440E-01
588.00	9.436E-01
589.00	9.428E-01
590.00	9.410E-01
591.00	9.415E-01
592.00	9.409E-01
593.00	9.403E-01
594.00	9.412E-01
595.00	9.400E-01
596.00	9.402E-01
597.00	9.397E-01
598.00	9.409E-01
599.00	9.408E-01
600.00	9.424E-01
601.00	9.419E-01
602.00	9.434E-01
603.00	9.443E-01
604.00	9.448E-01
605.00	9.443E-01
606.00	9.468E-01
607.00	9.469E-01
608.00	9.469E-01
609.00	9.472E-01
610.00	9.472E-01
611.00	9.484E-01
612.00	9.464E-01
613.00	9.464E-01
614.00	9.450E-01
615.00	9.455E-01
616.00	9.444E-01
617.00	9.433E-01
618.00	9.431E-01
619.00	9.435E-01
620.00	9.416E-01
621.00	9.427E-01
622.00	9.439E-01
623.00	9.433E-01
624.00	9.445E-01
625.00	9.454E-01
626.00	9.450E-01
627.00	9.457E-01
628.00	9.469E-01
629.00	9.473E-01
630.00	9.478E-01
631.00	9.473E-01
632.00	9.478E-01
633.00	9.467E-01
634.00	9.470E-01
635.00	9.456E-01
636.00	9.450E-01
637.00	9.422E-01
638.00	9.417E-01
639.00	9.386E-01
640.00	9.370E-01
641.00	9.320E-01
642.00	9.298E-01
643.00	9.262E-01
644.00	9.217E-01
645.00	9.182E-01
646.00	9.140E-01
647.00	9.107E-01
648.00	9.076E-01
649.00	9.035E-01
650.00	9.014E-01
651.00	8.975E-01
652.00	8.944E-01
653.00	8.927E-01
654.00	8.906E-01
655.00	8.891E-01
656.00	8.881E-01
657.00	8.879E-01
658.00	8.873E-01
659.00	8.888E-01
660.00	8.892E-01
661.00	8.908E-01
662.00	8.931E-01
663.00	8.948E-01
664.00	8.980E-01
665.00	8.997E-01
666.00	9.044E-01
667.00	9.082E-01
668.00	9.126E-01
669.00	9.168E-01
670.00	9.207E-01
671.00	9.249E-01
672.00	9.282E-01
673.00	9.326E-01
674.00	9.350E-01
675.00	9.394E-01
676.00	9.413E-01
677.00	9.425E-01
678.00	9.465E-01
679.00	9.465E-01
680.00	9.477E-01
681.00	9.482E-01
682.00	9.477E-01
683.00	9.482E-01
684.00	9.461E-01
685.00	9.449E-01
686.00	9.430E-01
687.00	9.417E-01
688.00	9.380E-01
689.00	9.372E-01
690.00	9.347E-01
691.00	9.325E-01
692.00	9.309E-01
693.00	9.291E-01
694.00	9.264E-01
695.00	9.262E-01
696.00	9.266E-01
697.00	9.249E-01
698.00	9.254E-01
699.00	9.252E-01
700.00	9.247E-01
701.00	9.251E-01
702.00	9.265E-01
703.00	9.266E-01
704.00	9.297E-01
705.00	9.290E-01
706.00	9.321E-01
707.00	9.332E-01
708.00	9.336E-01
709.00	9.387E-01
710.00	9.393E-01
711.00	9.391E-01
712.00	9.400E-01
713.00	9.420E-01
714.00	9.430E-01
715.00	9.443E-01
716.00	9.440E-01
717.00	9.438E-01
718.00	9.463E-01
719.00	9.451E-01
720.00	9.456E-01
721.00	9.432E-01
722.00	9.415E-01
723.00	9.415E-01
724.00	9.429E-01
725.00	9.408E-01
726.00	9.413E-01
727.00	9.392E-01
728.00	9.402E-01
729.00	9.413E-01
730.00	9.388E-01
731.00	9.372E-01
732.00	9.366E-01
733.00	9.396E-01
734.00	9.405E-01
735.00	9.404E-01
736.00	9.387E-01
737.00	9.386E-01
738.00	9.399E-01
739.00	9.407E-01
740.00	9.406E-01
741.00	9.400E-01
742.00	9.400E-01
743.00	9.407E-01
744.00	9.399E-01
745.00	9.389E-01
746.00	9.391E-01
747.00	9.368E-01
748.00	9.320E-01
749.00	9.323E-01
750.00	9.293E-01
751.00	9.264E-01
752.00	9.225E-01
753.00	9.183E-01
754.00	9.158E-01
755.00	9.087E-01
756.00	9.038E-01
757.00	9.004E-01
758.00	8.944E-01
759.00	8.921E-01
760.00	8.851E-01
761.00	8.809E-01
762.00	8.774E-01
763.00	8.726E-01
764.00	8.683E-01
765.00	8.657E-01
766.00	8.642E-01
767.00	8.588E-01
768.00	8.578E-01
769.00	8.549E-01
770.00	8.553E-01
771.00	8.555E-01
772.00	8.566E-01
773.00	8.572E-01
774.00	8.584E-01
775.00	8.597E-01
776.00	8.629E-01
777.00	8.678E-01
778.00	8.688E-01
779.00	8.734E-01
780.00	8.785E-01
781.00	8.845E-01
782.00	8.889E-01
783.00	8.946E-01
784.00	8.998E-01
785.00	9.071E-01
786.00	9.107E-01
787.00	9.164E-01
788.00	9.220E-01
789.00	9.251E-01
790.00	9.281E-01
791.00	9.320E-01
792.00	9.361E-01
793.00	9.383E-01
794.00	9.384E-01
795.00	9.382E-01
796.00	9.378E-01
797.00	9.375E-01
798.00	9.323E-01
799.00	9.330E-01
800.00	9.258E-01
801.00	9.202E-01
802.00	9.165E-01
803.00	9.095E-01
804.00	9.024E-01
805.00	8.921E-01
806.00	8.881E-01
807.00	8.800E-01
808.00	8.752E-01
809.00	8.642E-01
810.00	8.564E-01
811.00	8.497E-01
812.00	8.417E-01
813.00	8.331E-01
814.00	8.296E-01
815.00	8.197E-01
816.00	8.143E-01
817.00	8.092E-01
818.00	8.049E-01
819.00	8.006E-01
820.00	7.949E-01
821.00	7.928E-01
822.00	7.898E-01
823.00	7.890E-01
824.00	7.918E-01
825.00	7.912E-01
826.00	7.886E-01
827.00	7.908E-01
828.00	7.926E-01
829.00	7.988E-01
830.00	7.983E-01
831.00	8.014E-01
832.00	8.068E-01
833.00	8.131E-01
834.00	8.160E-01
835.00	8.251E-01
836.00	8.317E-01
837.00	8.391E-01
838.00	8.444E-01
839.00	8.500E-01
840.00	8.595E-01
841.00	8.660E-01
842.00	8.725E-01
843.00	8.822E-01
844.00	8.848E-01
845.00	8.926E-01
846.00	9.091E-01
847.00	9.039E-01
848.00	9.164E-01
849.00	9.236E-01
850.00	9.217E-01
