Typical Measured Spectrum of Semrock FF01-650/150 Optical Filter	
"For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited."	
"For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. "	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)	
625.4	0.990383181
625.6	0.990601971
625.8	0.991019661
626	0.991049496
626.2	0.991198671
626.4	0.991497021
626.6	0.991775482
626.8	0.991666087
627	0.992521357
627.2	0.992769982
627.4	0.993307012
627.6	0.993336847
627.8	0.993645142
628	0.993853987
628.2	0.994072778
628.4	0.994301513
628.6	0.994530248
628.8	0.994540193
629	0.994649588
629.2	0.995176673
629.4	0.995186618
629.6	0.995107058
629.8	0.995733593
630	0.995743538
630.2	0.995723648
630.4	0.995912603
630.6	0.996260678
630.8	0.996877269
631	0.996738039
631.2	0.996877269
631.4	0.997006554
631.6	0.997145784
631.8	0.997056279
632	0.997424244
632.2	0.997185564
632.4	0.997235289
632.6	0.997483914
632.8	0.997851879
633	0.997334739
633.2	0.997822044
633.4	0.997652979
633.6	0.997802154
633.8	0.998080614
634	0.998001054
634.2	0.998319294
634.4	0.997941384
634.6	0.998140284
634.8	0.998050779
635	0.997841934
635.2	0.997374519
635.4	0.998269569
635.6	0.998239734
635.8	0.997772319
636	0.997404354
636.2	0.997195509
636.4	0.997543584
636.6	0.997215399
636.8	0.997464024
637	0.996618699
637.2	0.996529194
637.4	0.996330293
637.6	0.996201008
637.8	0.995862878
638	0.995445188
638.2	0.995176673
638.4	0.994649588
638.6	0.994182173
638.8	0.993943492
639	0.993446242
639.2	0.993147892
639.4	0.992451742
639.6	0.992183227
639.8	0.991606417
640	0.991168836
640.2	0.990741201
640.4	0.990403071
640.6	0.989925711
640.8	0.989607471
641	0.988881485
641.2	0.98841407
641.4	0.987707975
641.6	0.98726045
641.8	0.986773145
642	0.98686265
642.2	0.986017324
642.4	0.986086939
642.6	0.985470349
642.8	0.985460404
643	0.985042714
643.2	0.984963154
643.4	0.984973099
643.6	0.985142164
643.8	0.985032769
644	0.985152109
644.2	0.985142164
644.4	0.985480294
644.6	0.986226169
644.8	0.986226169
645	0.986673694
645.2	0.987091385
645.4	0.98712122
645.6	0.98787704
645.8	0.988264895
646	0.98897099
646.2	0.989567691
646.4	0.990283731
646.6	0.990671586
646.8	0.991487076
647	0.991954492
647.2	0.992849542
647.4	0.993326902
647.6	0.994530248
647.8	0.994918103
648	0.995166728
648.2	0.996141338
648.4	0.996568974
648.6	0.997205454
648.8	0.997454079
649	0.997812099
649.2	0.998080614
649.4	0.998508249
649.6	0.998727039
649.8	0.999472915
650	0.99902539
650.2	0.999194455
650.4	0.99912484
650.6	0.998995555
650.8	0.99890605
651	0.998567919
651.2	0.998567919
651.4	0.998697204
651.6	0.998190009
651.8	0.998030889
652	0.997324794
652.2	0.996728094
652.4	0.997066224
652.6	0.996559029
652.8	0.995663978
653	0.995494913
653.2	0.995256233
653.4	0.994719203
653.6	0.994371128
653.8	0.993814207
654	0.993545692
654.2	0.993386572
654.4	0.993207562
654.6	0.992740147
654.8	0.993108112
655	0.992352292
655.2	0.992720257
655.4	0.992352292
655.6	0.992541247
655.8	0.992431852
656	0.992680477
656.2	0.993088222
656.4	0.992581027
656.6	0.992471632
656.8	0.992988772
657	0.993177727
657.2	0.993177727
657.4	0.993525802
657.6	0.993834097
657.8	0.993804262
658	0.993684922
658.2	0.994391018
658.4	0.994629698
658.6	0.994659533
658.8	0.994410908
659	0.994619753
659.2	0.994977773
659.4	0.994967828
659.6	0.995216453
659.8	0.995077223
660	0.995296013
660.2	0.995604308
660.4	0.995465078
660.6	0.995266178
660.8	0.995117003
661	0.995027498
661.2	0.994719203
661.4	0.994560083
661.6	0.994361183
661.8	0.994391018
662	0.994371128
662.2	0.993963382
662.4	0.993575527
662.6	0.993207562
662.8	0.992948992
663	0.992750092
663.2	0.992531302
663.4	0.992590972
663.6	0.992063887
663.8	0.991954492
664	0.992153392
664.2	0.991874932
664.4	0.991815262
664.6	0.991874932
664.8	0.992004217
665	0.992312512
665.2	0.992163337
665.4	0.992213062
665.6	0.992282677
665.8	0.992610862
666	0.992471632
666.2	0.993048442
666.4	0.993277177
666.6	0.993426352
666.8	0.994092668
667	0.994162283
667.2	0.995037443
667.4	0.994798763
667.6	0.995405408
667.8	0.995912603
668	0.996897159
668.2	0.996638589
668.4	0.996598809
668.6	0.997672869
668.8	0.997901604
669	0.998279514
669.2	0.998468469
669.4	0.998319294
669.6	0.998746929
669.8	0.99886627
670	0.99906517
670.2	0.999015445
670.4	0.99924418
670.6	0.99892594
670.8	0.998856325
671	0.998398854
671.2	0.998299404
671.4	0.998418744
671.6	0.997802154
671.8	0.997881714
672	0.997434189
672.2	0.997125894
672.4	0.996409854
672.6	0.995982218
672.8	0.995494913
673	0.994848488
673.2	0.994122503
673.4	0.993844042
673.6	0.993187672
673.8	0.992640697
674	0.991656142
674.2	0.991009716
674.4	0.990403071
674.6	0.989766591
674.8	0.98907044
675	0.988344455
675.2	0.9879566
675.4	0.987509075
675.6	0.986793035
675.8	0.986305729
676	0.985927819
676.2	0.985480294
676.4	0.985112329
676.6	0.984376399
676.8	0.984008433
677	0.983899038
677.2	0.983312283
677.4	0.982974153
677.6	0.982526628
677.8	0.982884648
678	0.982576353
678.2	0.982238223
678.4	0.981512237
678.6	0.982347618
678.8	0.981870257
679	0.982327728
679.2	0.981939873
679.4	0.981452567
679.6	0.981900092
679.8	0.982069158
680	0.982238223
680.2	0.981631577
680.4	0.981890147
680.6	0.981581852
680.8	0.981323282
681	0.981810587
681.2	0.982457013
681.4	0.982536573
681.6	0.982089048
681.8	0.982586298
682	0.982705638
682.2	0.982616133
682.4	0.982884648
682.6	0.982755363
682.8	0.983362008
683	0.983451513
683.2	0.983610633
683.4	0.983531073
683.6	0.983998488
683.8	0.983739918
684	0.984227223
684.2	0.984634969
684.4	0.984475849
684.6	0.984475849
684.8	0.984535519
685	0.984346564
685.2	0.984963154
685.4	0.985291339
685.6	0.985997434
685.8	0.985897984
686	0.985878094
686.2	0.985848259
686.4	0.985967599
686.6	0.986136664
686.8	0.986206279
687	0.986564299
687.2	0.986305729
687.4	0.986633914
687.6	0.986246059
687.8	0.986544409
688	0.986305729
688.2	0.986623969
688.4	0.985679194
688.6	0.986176444
688.8	0.986305729
689	0.985828369
689.2	0.985370899
689.4	0.985321174
689.6	0.984913429
689.8	0.984664804
690	0.984515629
690.2	0.984058158
690.4	0.984008433
690.6	0.983222778
690.8	0.983212833
691	0.982357563
691.2	0.981830477
691.4	0.981412787
691.6	0.980995097
691.8	0.980627132
692	0.980159717
692.2	0.980020487
692.4	0.979364116
692.6	0.978498901
692.8	0.978051376
693	0.977424841
693.2	0.977315446
693.4	0.97676847
693.6	0.976718745
693.8	0.976221495
694	0.975425895
694.2	0.97507782
694.4	0.974968425
694.6	0.974441339
694.8	0.974709855
695	0.974371724
695.2	0.973417004
695.4	0.974083319
695.6	0.973944089
695.8	0.973804859
696	0.974351834
696.2	0.974789415
696.4	0.974133044
696.6	0.974530844
696.8	0.97545573
697	0.975127545
697.2	0.975366225
697.4	0.97595298
697.6	0.976499955
697.8	0.976579515
698	0.977315446
698.2	0.977932036
698.4	0.978270166
698.6	0.978777361
698.8	0.979364116
699	0.980259167
699.2	0.981213887
699.4	0.981094547
699.6	0.981939873
699.8	0.982884648
700	0.983749863
700.2	0.984117828
700.4	0.984724474
700.6	0.985689139
700.8	0.985848259
701	0.98680298
701.2	0.987349955
701.4	0.987767645
701.6	0.988424015
701.8	0.989527911
702	0.990333456
702.2	0.990393126
702.4	0.990253896
702.6	0.991168836
702.8	0.991298121
703	0.991984327
703.2	0.992411962
703.4	0.992720257
703.6	0.993008662
703.8	0.993098167
704	0.993356737
704.2	0.993863932
704.4	0.993665032
704.6	0.994400963
704.8	0.994440743
705	0.994649588
705.2	0.995186618
705.4	0.994967828
705.6	0.995902658
705.8	0.995733593
706	0.995475023
706.2	0.995833043
706.4	0.995216453
706.6	0.995882768
706.8	0.995872823
707	0.996141338
707.2	0.996151283
707.4	0.996837489
707.6	0.996797709
707.8	0.996747984
708	0.996946884
708.2	0.996738039
708.4	0.996907104
708.6	0.997016499
708.8	0.996867324
709	0.996559029
709.2	0.996907104
709.4	0.996867324
709.6	0.996936939
709.8	0.997822044
710	0.997424244
710.2	0.997712649
710.4	0.997394409
710.6	0.997503804
710.8	0.997364574
711	0.997692759
711.2	0.997961274
711.4	0.997911549
711.6	0.998349129
711.8	0.997742484
712	0.998090559
712.2	0.998398854
712.4	0.998040834
712.6	0.997901604
712.8	0.998518194
713	0.998667369
713.2	0.99906517
713.4	0.99894583
713.6	0.99934363
713.8	0.998975665
714	0.99910495
714.2	0.999095005
714.4	0.99906517
714.6	0.99944308
714.8	0.999015445
715	0.99928396
715.2	0.99958231
715.4	0.99966187
715.6	0.999512695
715.8	0.999114895
716	0.99916462
716.2	0.999293905
716.4	0.999890605
716.6	0.999691705
716.8	0.999850825
717	1
717.2	0.999731485
717.4	0.999532585
717.6	0.999353575
717.8	0.99916462
718	0.99956242
718.2	0.999114895
718.4	0.999234235
718.6	0.998796655
718.8	0.99924418
719	0.99934363
719.2	0.99948286
719.4	0.99910495
719.6	0.999333685
719.8	0.999015445
720	0.99912484
720.2	0.999353575
720.4	0.9998011
720.6	0.999254125
720.8	0.99974143
721	0.998975665
721.2	0.99896572
721.4	0.99910495
721.6	0.998697204
721.8	0.998279514
722	0.997772319
722.2	0.997056279
722.4	0.996330293
722.6	0.995823098
722.8	0.995663978
723	0.995067278
723.2	0.994331348
723.4	0.993525802
723.6	0.992232952
723.8	0.992063887
724	0.990293676
724.2	0.989478186
724.4	0.98813561
724.6	0.987469295
724.8	0.98684276
725	0.985579744
725.2	0.985341064
725.4	0.984257058
725.6	0.983560908
725.8	0.984127773
726	0.984326673
726.2	0.984734419
726.4	0.985927819
726.6	0.987210725
726.8	0.98887154
727	0.990124611
727.2	0.991795372
727.4	0.992859487
727.6	0.995107058
727.8	0.996628644
728	0.997125894
728.2	0.996171173
728.4	0.992819707
728.6	0.988205225
728.8	0.980070212
729	0.968464392
729.2	0.952194365
729.4	0.930404861
729.6	0.903463845
729.8	0.869412151
730	0.830000099
730.2	0.784621046
730.4	0.734398775
730.6	0.680268117
730.8	0.624416974
731	0.567024355
731.2	0.510268217
731.4	0.455829264
731.6	0.404244528
731.8	0.356876473
732	0.313516255
732.2	0.274322994
732.4	0.239535369
732.6	0.208735692
732.8	0.159478086
733	0.138464292
733.2	0.12033455
733.4	0.104651278
733.6	0.091116128
733.8	0.079361133
734	0.069237119
734.2	0.062494406
734.4	0.054647798
734.6	0.048044315
734.8	0.042166817
735	0.037194315
735.2	0.032738954
735.4	0.029417322
735.6	0.026403986
735.8	0.02347021
736	0.020775114
736.2	0.018517598
736.4	0.016598212
736.6	0.014818056
736.8	0.013873281
737	0.012471035
737.2	0.01120802
737.4	0.010094179
737.6	0.009129514
737.8	0.008214573
738	0.007309578
738.2	0.006523923
738.4	0.005897387
738.6	0.005350412
738.8	0.004882997
739	0.004465307
739.2	0.004047617
739.4	0.003649817
739.6	0.003351466
739.8	0.003073006
740	0.002814436
740.2	0.002575756
740.4	0.002376856
740.6	0.002177956
740.8	0.001998946
741	0.001839826
741.2	0.001700596
741.4	0.001571311
741.6	0.001461916
741.8	0.001352521
742	0.001253071
742.2	0.00117351
742.4	0.001084005
742.6	0.00101439
742.8	9.47E-04
743	8.84E-04
743.2	8.28E-04
743.4	7.71E-04
743.6	7.20E-04
743.8	6.74E-04
744	6.36E-04
744.2	5.96E-04
744.4	5.62E-04
744.6	5.30E-04
744.8	4.94E-04
745	4.65E-04
745.2	4.43E-04
745.4	4.17E-04
745.6	3.95E-04
745.8	3.74E-04
746	3.53E-04
746.2	3.35E-04
746.4	3.18E-04
746.6	2.99E-04
746.8	2.90E-04
747	2.75E-04
747.2	2.60E-04
747.4	2.47E-04
747.6	2.36E-04
747.8	2.23E-04
748	2.14E-04
748.2	2.05E-04
748.4	1.96E-04
748.6	1.88E-04
748.8	1.78E-04
749	1.73E-04
749.2	1.65E-04
749.4	1.59E-04
749.6	1.53E-04
749.8	1.45E-04
750	1.42E-04
750.2	1.38E-04
750.4	1.35E-04
750.6	1.32E-04
750.8	1.29E-04
751	1.26E-04
751.2	1.23E-04
751.4	1.20E-04
751.6	1.17E-04
751.8	1.13E-04
752	1.10E-04
752.2	1.07E-04
752.4	1.04E-04
752.6	1.01E-04
752.8	9.85E-05
753	9.58E-05
753.2	9.32E-05
753.4	9.06E-05
753.6	8.81E-05
753.8	8.56E-05
754	8.33E-05
754.2	8.10E-05
754.4	7.87E-05
754.6	7.66E-05
754.8	7.45E-05
755	7.32E-05
755.2	7.23E-05
755.4	7.14E-05
755.6	7.05E-05
755.8	6.96E-05
756	6.87E-05
756.2	6.78E-05
756.4	6.70E-05
756.6	6.61E-05
756.8	6.53E-05
757	6.44E-05
757.2	6.36E-05
757.4	6.28E-05
757.6	6.20E-05
757.8	6.12E-05
758	6.04E-05
758.2	5.97E-05
758.4	5.89E-05
758.6	5.82E-05
758.8	5.74E-05
759	5.67E-05
759.2	5.60E-05
759.4	5.53E-05
759.6	5.46E-05
759.8	5.41E-05
760	5.42E-05
760.2	5.43E-05
760.4	5.44E-05
760.6	5.45E-05
760.8	5.45E-05
761	5.46E-05
761.2	5.47E-05
761.4	5.48E-05
761.6	5.49E-05
761.8	5.50E-05
762	5.51E-05
762.2	5.52E-05
762.4	5.53E-05
762.6	5.54E-05
762.8	5.55E-05
763	5.56E-05
763.2	5.57E-05
763.4	5.58E-05
763.6	5.59E-05
763.8	5.60E-05
764	5.61E-05
764.2	5.62E-05
764.4	5.63E-05
764.6	5.64E-05
764.8	5.72E-05
765	5.82E-05
765.2	5.93E-05
765.4	6.04E-05
765.6	6.15E-05
765.8	6.26E-05
766	6.37E-05
766.2	6.49E-05
766.4	6.60E-05
766.6	6.72E-05
766.8	6.84E-05
767	6.97E-05
767.2	7.09E-05
767.4	7.22E-05
767.6	7.35E-05
767.8	7.49E-05
768	7.62E-05
768.2	7.76E-05
768.4	7.90E-05
768.6	8.04E-05
768.8	8.19E-05
769	8.34E-05
769.2	8.49E-05
769.4	8.64E-05
769.6	8.80E-05
769.8	8.95E-05
770	9.11E-05
770.2	9.27E-05
770.4	9.43E-05
770.6	9.60E-05
770.8	9.76E-05
771	9.94E-05
771.2	1.01E-04
771.4	1.03E-04
771.6	1.05E-04
771.8	1.07E-04
772	1.08E-04
772.2	1.10E-04
772.4	1.12E-04
772.6	1.14E-04
772.8	1.16E-04
773	1.18E-04
773.2	1.20E-04
773.4	1.22E-04
773.6	1.25E-04
773.8	1.27E-04
774	1.29E-04
774.2	1.31E-04
774.4	1.34E-04
774.6	1.34E-04
774.8	1.33E-04
775	1.33E-04
775.2	1.32E-04
775.4	1.32E-04
775.6	1.31E-04
775.8	1.31E-04
776	1.30E-04
776.2	1.30E-04
776.4	1.29E-04
776.6	1.29E-04
776.8	1.28E-04
777	1.28E-04
777.2	1.27E-04
777.4	1.27E-04
777.6	1.26E-04
777.8	1.26E-04
778	1.25E-04
778.2	1.25E-04
778.4	1.24E-04
778.6	1.24E-04
778.8	1.23E-04
779	1.23E-04
779.2	1.22E-04
779.4	1.22E-04
779.6	1.20E-04
779.8	1.19E-04
780	1.18E-04
780.2	1.17E-04
780.4	1.16E-04
780.6	1.15E-04
780.8	1.13E-04
781	1.12E-04
781.2	1.11E-04
781.4	1.10E-04
781.6	1.09E-04
781.8	1.08E-04
782	1.07E-04
782.2	1.06E-04
782.4	1.05E-04
782.6	1.04E-04
782.8	1.03E-04
783	1.02E-04
783.2	1.01E-04
783.4	9.97E-05
783.6	9.87E-05
783.8	9.77E-05
784	9.67E-05
784.2	9.58E-05
784.4	9.48E-05
784.6	9.39E-05
784.8	9.30E-05
785	9.20E-05
785.2	9.11E-05
785.4	9.02E-05
785.6	8.98E-05
785.8	8.94E-05
786	8.90E-05
786.2	8.86E-05
786.4	8.82E-05
786.6	8.78E-05
786.8	8.74E-05
787	8.70E-05
787.2	8.66E-05
787.4	8.63E-05
787.6	8.59E-05
787.8	8.55E-05
788	8.51E-05
788.2	8.47E-05
788.4	8.44E-05
788.6	8.40E-05
788.8	8.36E-05
789	8.35E-05
789.2	8.35E-05
789.4	8.35E-05
789.6	8.35E-05
789.8	8.36E-05
790	8.36E-05
790.2	8.36E-05
790.4	8.36E-05
790.6	8.37E-05
790.8	8.37E-05
791	8.37E-05
791.2	8.37E-05
791.4	8.37E-05
791.6	8.38E-05
791.8	8.38E-05
792	8.38E-05
792.2	8.38E-05
792.4	8.38E-05
792.6	8.39E-05
792.8	8.39E-05
793	8.39E-05
793.2	8.39E-05
793.4	8.40E-05
793.6	8.42E-05
793.8	8.49E-05
794	8.55E-05
794.2	8.62E-05
794.4	8.68E-05
794.6	8.75E-05
794.8	8.81E-05
795	8.88E-05
795.2	8.95E-05
795.4	9.01E-05
795.6	9.08E-05
795.8	9.18E-05
796	9.27E-05
796.2	9.36E-05
796.4	9.45E-05
796.6	9.55E-05
796.8	9.64E-05
797	9.74E-05
797.2	9.84E-05
797.4	9.94E-05
797.6	1.01E-04
797.8	1.03E-04
798	1.04E-04
798.2	1.06E-04
798.4	1.08E-04
798.6	1.10E-04
798.8	1.12E-04
799	1.13E-04
799.2	1.16E-04
799.4	1.18E-04
799.6	1.21E-04
799.8	1.24E-04
800	1.27E-04
800.2	1.29E-04
800.4	1.32E-04
800.6	1.35E-04
800.8	1.39E-04
801	1.42E-04
801.2	1.46E-04
801.4	1.51E-04
801.6	1.55E-04
801.8	1.59E-04
802	1.64E-04
802.2	1.68E-04
802.4	1.73E-04
802.6	1.78E-04
802.8	1.82E-04
803	1.87E-04
803.2	1.91E-04
803.4	1.95E-04
803.6	2.00E-04
803.8	2.05E-04
804	2.10E-04
804.2	2.15E-04
804.4	2.20E-04
804.6	2.21E-04
804.8	2.23E-04
805	2.24E-04
805.2	2.23E-04
805.4	2.19E-04
805.6	2.16E-04
805.8	2.13E-04
806	2.09E-04
806.2	2.06E-04
806.4	2.03E-04
806.6	1.99E-04
806.8	1.96E-04
807	1.91E-04
807.2	1.82E-04
807.4	1.73E-04
807.6	1.65E-04
807.8	1.57E-04
808	1.50E-04
808.2	1.43E-04
808.4	1.36E-04
808.6	1.30E-04
808.8	1.23E-04
809	1.16E-04
809.2	1.09E-04
809.4	1.03E-04
809.6	9.70E-05
809.8	9.13E-05
810	8.60E-05
810.2	8.09E-05
810.4	7.62E-05
810.6	7.18E-05
810.8	6.80E-05
811	6.44E-05
811.2	6.10E-05
811.4	5.78E-05
811.6	5.48E-05
811.8	5.19E-05
812	4.91E-05
812.2	4.65E-05
812.4	4.41E-05
812.6	4.21E-05
812.8	4.02E-05
813	3.83E-05
813.2	3.65E-05
813.4	3.49E-05
813.6	3.33E-05
813.8	3.17E-05
814	3.03E-05
814.2	2.89E-05
814.4	2.79E-05
814.6	2.69E-05
814.8	2.59E-05
815	2.50E-05
815.2	2.41E-05
815.4	2.32E-05
815.6	2.24E-05
815.8	2.16E-05
816	2.08E-05
816.2	2.02E-05
816.4	1.96E-05
816.6	1.91E-05
816.8	1.86E-05
817	1.80E-05
817.2	1.75E-05
817.4	1.70E-05
817.6	1.66E-05
817.8	1.61E-05
818	1.57E-05
818.2	1.54E-05
818.4	1.50E-05
818.6	1.47E-05
818.8	1.43E-05
819	1.40E-05
819.2	1.37E-05
819.4	1.34E-05
819.6	1.31E-05
819.8	1.29E-05
820	1.26E-05
820.2	1.24E-05
820.4	1.22E-05
820.6	1.20E-05
820.8	1.18E-05
821	1.16E-05
821.2	1.15E-05
821.4	1.13E-05
821.6	1.11E-05
821.8	1.10E-05
822	1.09E-05
822.2	1.08E-05
822.4	1.07E-05
822.6	1.05E-05
822.8	1.04E-05
823	1.03E-05
823.2	1.02E-05
823.4	1.01E-05
823.6	1.00E-05
823.8	9.94E-06
824	9.86E-06
824.2	9.78E-06
824.4	9.70E-06
824.6	9.62E-06
824.8	9.54E-06
825	9.46E-06
825.2	9.41E-06
825.4	9.37E-06
825.6	9.33E-06
825.8	9.30E-06
826	9.26E-06
826.2	9.22E-06
826.4	9.18E-06
826.6	9.14E-06
826.8	9.10E-06
827	9.08E-06
827.2	9.07E-06
827.4	9.06E-06
827.6	9.05E-06
827.8	9.04E-06
828	9.03E-06
828.2	9.02E-06
828.4	9.01E-06
828.6	9.00E-06
828.8	9.04E-06
829	9.11E-06
829.2	9.18E-06
829.4	9.24E-06
829.6	9.31E-06
829.8	9.38E-06
830	9.45E-06
830.2	9.51E-06
830.4	9.58E-06
830.6	9.63E-06
830.8	9.67E-06
831	9.72E-06
831.2	9.76E-06
831.4	9.80E-06
831.6	9.84E-06
831.8	9.88E-06
832	9.92E-06
832.2	9.96E-06
832.4	1.01E-05
832.6	1.02E-05
832.8	1.03E-05
833	1.04E-05
833.2	1.06E-05
833.4	1.07E-05
833.6	1.08E-05
833.8	1.10E-05
834	1.11E-05
834.2	1.13E-05
834.4	1.14E-05
834.6	1.16E-05
834.8	1.17E-05
835	1.19E-05
835.2	1.21E-05
835.4	1.22E-05
835.6	1.24E-05
835.8	1.26E-05
836	1.28E-05
836.2	1.30E-05
836.4	1.32E-05
836.6	1.34E-05
836.8	1.37E-05
837	1.39E-05
837.2	1.41E-05
837.4	1.44E-05
837.6	1.46E-05
837.8	1.49E-05
838	1.51E-05
838.2	1.54E-05
838.4	1.57E-05
838.6	1.60E-05
838.8	1.63E-05
839	1.67E-05
839.2	1.70E-05
839.4	1.73E-05
839.6	1.76E-05
839.8	1.80E-05
840	1.84E-05
840.2	1.87E-05
840.4	1.91E-05
840.6	1.95E-05
840.8	1.99E-05
841	2.03E-05
841.2	2.07E-05
841.4	2.11E-05
841.6	2.16E-05
841.8	2.22E-05
842	2.27E-05
842.2	2.33E-05
842.4	2.39E-05
842.6	2.44E-05
842.8	2.50E-05
843	2.57E-05
843.2	2.63E-05
843.4	2.69E-05
843.6	2.76E-05
843.8	2.82E-05
844	2.89E-05
844.2	2.96E-05
844.4	3.03E-05
844.6	3.11E-05
844.8	3.18E-05
845	3.26E-05
845.2	3.34E-05
845.4	3.43E-05
845.6	3.51E-05
845.8	3.60E-05
846	3.69E-05
846.2	3.78E-05
846.4	3.88E-05
846.6	3.98E-05
846.8	4.08E-05
847	4.20E-05
847.2	4.32E-05
847.4	4.44E-05
847.6	4.57E-05
847.8	4.70E-05
848	4.83E-05
848.2	4.97E-05
848.4	5.11E-05
848.6	5.25E-05
848.8	5.41E-05
849	5.58E-05
849.2	5.75E-05
849.4	5.92E-05
849.6	6.10E-05
849.8	6.29E-05
850	6.48E-05
850.2	6.67E-05
850.4	6.88E-05
850.6	7.10E-05
850.8	7.32E-05
851	7.56E-05
851.2	7.80E-05
851.4	8.04E-05
851.6	8.30E-05
851.8	8.56E-05
852	8.84E-05
852.2	9.12E-05
852.4	9.40E-05
852.6	9.70E-05
852.8	1.00E-04
853	1.03E-04
853.2	1.06E-04
853.4	1.10E-04
853.6	1.13E-04
853.8	1.17E-04
854	1.20E-04
854.2	1.23E-04
854.4	1.26E-04
854.6	1.30E-04
854.8	1.33E-04
855	1.36E-04
855.2	1.40E-04
855.4	1.44E-04
855.6	1.47E-04
855.8	1.51E-04
856	1.53E-04
856.2	1.55E-04
856.4	1.57E-04
856.6	1.60E-04
856.8	1.62E-04
857	1.64E-04
857.2	1.67E-04
857.4	1.69E-04
857.6	1.71E-04
857.8	1.71E-04
858	1.70E-04
858.2	1.70E-04
858.4	1.69E-04
858.6	1.69E-04
858.8	1.68E-04
859	1.68E-04
859.2	1.67E-04
859.4	1.66E-04
859.6	1.64E-04
859.8	1.62E-04
860	1.59E-04
860.2	1.57E-04
860.4	1.55E-04
860.6	1.53E-04
860.8	1.51E-04
861	1.48E-04
861.2	1.46E-04
861.4	1.43E-04
861.6	1.41E-04
861.8	1.38E-04
862	1.36E-04
862.2	1.33E-04
862.4	1.30E-04
862.6	1.28E-04
862.8	1.26E-04
863	1.23E-04
863.2	1.21E-04
863.4	1.20E-04
863.6	1.18E-04
863.8	1.16E-04
864	1.14E-04
864.2	1.12E-04
864.4	1.11E-04
864.6	1.09E-04
864.8	1.07E-04
865	1.06E-04
865.2	1.05E-04
865.4	1.04E-04
865.6	1.04E-04
865.8	1.03E-04
866	1.02E-04
866.2	1.01E-04
866.4	9.98E-05
866.6	9.91E-05
866.8	9.90E-05
867	9.90E-05
867.2	9.89E-05
867.4	9.88E-05
867.6	9.88E-05
867.8	9.87E-05
868	9.87E-05
868.2	9.87E-05
868.4	9.88E-05
868.6	9.95E-05
868.8	1.00E-04
869	1.01E-04
869.2	1.02E-04
869.4	1.03E-04
869.6	1.04E-04
869.8	1.05E-04
870	1.06E-04
870.2	1.07E-04
870.4	1.08E-04
870.6	1.11E-04
870.8	1.13E-04
871	1.15E-04
871.2	1.17E-04
871.4	1.20E-04
871.6	1.22E-04
871.8	1.25E-04
872	1.27E-04
872.2	1.31E-04
872.4	1.35E-04
872.6	1.40E-04
872.8	1.44E-04
873	1.49E-04
873.2	1.53E-04
873.4	1.58E-04
873.6	1.63E-04
873.8	1.69E-04
874	1.74E-04
874.2	1.80E-04
874.4	1.86E-04
874.6	1.93E-04
874.8	1.99E-04
875	2.06E-04
875.2	2.13E-04
875.4	2.20E-04
875.6	2.27E-04
875.8	2.30E-04
876	2.31E-04
876.2	2.32E-04
876.4	2.33E-04
876.6	2.34E-04
876.8	2.35E-04
877	2.36E-04
877.2	2.37E-04
877.4	2.38E-04
877.6	2.31E-04
877.8	2.20E-04
878	2.11E-04
878.2	2.01E-04
878.4	1.92E-04
878.6	1.84E-04
878.8	1.75E-04
879	1.68E-04
879.2	1.60E-04
879.4	1.51E-04
879.6	1.40E-04
879.8	1.31E-04
880	1.22E-04
880.2	1.14E-04
880.4	1.06E-04
880.6	9.90E-05
880.8	9.23E-05
881	8.61E-05
881.2	8.04E-05
881.4	7.52E-05
881.6	7.04E-05
881.8	6.58E-05
882	6.16E-05
882.2	5.76E-05
882.4	5.39E-05
882.6	5.04E-05
882.8	4.72E-05
883	4.44E-05
883.2	4.20E-05
883.4	3.97E-05
883.6	3.75E-05
883.8	3.55E-05
884	3.35E-05
884.2	3.17E-05
884.4	3.00E-05
884.6	2.83E-05
884.8	2.69E-05
885	2.57E-05
885.2	2.45E-05
885.4	2.33E-05
885.6	2.23E-05
885.8	2.12E-05
886	2.02E-05
886.2	1.93E-05
886.4	1.84E-05
886.6	1.76E-05
886.8	1.69E-05
887	1.63E-05
887.2	1.56E-05
887.4	1.50E-05
887.6	1.44E-05
887.8	1.38E-05
888	1.33E-05
888.2	1.28E-05
888.4	1.23E-05
888.6	1.20E-05
888.8	1.16E-05
889	1.13E-05
889.2	1.09E-05
889.4	1.06E-05
889.6	1.03E-05
889.8	9.97E-06
890	9.67E-06
890.2	9.40E-06
890.4	9.14E-06
890.6	8.88E-06
890.8	8.64E-06
891	8.40E-06
891.2	8.16E-06
891.4	7.94E-06
891.6	7.72E-06
891.8	7.50E-06
892	7.32E-06
892.2	7.17E-06
892.4	7.02E-06
892.6	6.87E-06
892.8	6.72E-06
893	6.58E-06
893.2	6.44E-06
893.4	6.31E-06
893.6	6.18E-06
893.8	6.06E-06
894	5.95E-06
894.2	5.84E-06
894.4	5.74E-06
894.6	5.63E-06
894.8	5.53E-06
895	5.43E-06
895.2	5.33E-06
895.4	5.24E-06
895.6	5.17E-06
895.8	5.11E-06
896	5.06E-06
896.2	5.01E-06
896.4	4.96E-06
896.6	4.91E-06
896.8	4.86E-06
897	4.81E-06
897.2	4.76E-06
