lambda_chroma_emD535_30m	chroma_emD535_30m
575.00	-8.831E-06
576.00	1.603E-05
577.00	1.114E-05
578.00	-2.202E-06
579.00	2.588E-05
580.00	5.780E-06
581.00	-1.417E-05
582.00	-1.027E-05
583.00	-1.977E-06
584.00	5.136E-07
585.00	-1.670E-05
586.00	2.119E-05
587.00	-1.391E-05
588.00	-1.721E-05
589.00	1.597E-06
590.00	-6.988E-06
591.00	-4.013E-06
592.00	6.782E-06
593.00	-3.270E-06
594.00	-3.011E-06
595.00	3.069E-06
596.00	-1.345E-05
597.00	-6.924E-06
598.00	-4.790E-06
599.00	-2.716E-06
600.00	-1.209E-05
601.00	1.203E-05
602.00	-2.339E-06
603.00	3.399E-06
604.00	1.213E-05
605.00	1.612E-05
606.00	-1.484E-05
607.00	-4.291E-07
608.00	-1.788E-05
609.00	-2.912E-06
610.00	2.789E-06
611.00	-9.906E-06
612.00	7.083E-06
613.00	-1.012E-05
614.00	2.527E-05
615.00	-5.573E-06
616.00	-9.812E-07
617.00	-3.163E-06
618.00	2.100E-05
619.00	-1.459E-06
620.00	-6.026E-06
621.00	1.617E-05
622.00	-6.660E-06
623.00	3.068E-05
624.00	-1.368E-06
625.00	1.155E-05
626.00	-9.150E-06
627.00	1.620E-05
628.00	-1.085E-05
629.00	-2.445E-05
630.00	-3.325E-06
631.00	-7.656E-06
632.00	-5.226E-06
633.00	-1.168E-05
634.00	-2.790E-06
635.00	-5.629E-07
636.00	-5.360E-07
637.00	-1.571E-05
638.00	-4.918E-06
639.00	-6.208E-07
640.00	2.852E-05
641.00	-2.176E-06
642.00	3.726E-05
643.00	-3.795E-07
644.00	2.087E-07
645.00	2.453E-05
646.00	8.536E-06
647.00	2.031E-05
648.00	2.042E-05
649.00	1.633E-05
650.00	-1.867E-06
651.00	-8.375E-06
652.00	8.457E-06
653.00	-1.012E-05
654.00	-1.269E-05
655.00	-1.142E-05
656.00	-1.936E-06
657.00	3.820E-06
658.00	-1.173E-05
659.00	-4.153E-06
660.00	-1.630E-06
661.00	1.672E-07
662.00	-1.459E-06
663.00	-3.739E-06
664.00	-5.617E-09
665.00	-2.454E-07
666.00	1.638E-05
667.00	-4.216E-06
668.00	8.516E-06
669.00	4.267E-06
670.00	2.468E-05
671.00	1.639E-05
672.00	-3.947E-06
673.00	-4.254E-06
674.00	4.583E-06
675.00	8.335E-06
676.00	8.143E-06
677.00	-2.361E-06
678.00	8.409E-06
679.00	-4.070E-06
680.00	8.048E-06
681.00	1.215E-05
682.00	-5.931E-06
683.00	2.055E-05
684.00	1.644E-05
685.00	1.646E-05
686.00	4.085E-05
687.00	-4.225E-06
688.00	1.646E-05
689.00	-1.116E-05
690.00	-1.008E-05
691.00	8.190E-06
692.00	8.046E-06
693.00	-2.495E-06
694.00	8.373E-06
695.00	-4.149E-06
696.00	3.898E-06
697.00	3.788E-05
698.00	-1.189E-05
699.00	1.379E-07
700.00	-8.393E-06
701.00	-2.315E-06
702.00	7.933E-06
703.00	7.801E-06
704.00	4.179E-06
705.00	2.076E-05
706.00	-2.357E-06
707.00	-3.614E-07
708.00	-3.923E-06
709.00	4.195E-06
710.00	2.078E-05
711.00	-8.743E-06
712.00	-4.666E-06
713.00	5.174E-05
714.00	1.320E-07
715.00	5.010E-05
716.00	-2.299E-06
717.00	8.021E-06
718.00	-5.868E-06
719.00	1.255E-05
720.00	8.308E-06
721.00	3.969E-06
722.00	-1.315E-05
723.00	1.669E-05
724.00	-3.984E-06
725.00	-1.459E-05
726.00	4.021E-06
727.00	3.855E-06
728.00	3.678E-06
729.00	3.440E-05
730.00	1.435E-07
731.00	2.939E-05
732.00	-4.426E-06
733.00	-2.441E-06
734.00	3.603E-06
735.00	3.418E-06
736.00	4.186E-06
737.00	3.383E-05
738.00	8.158E-06
739.00	2.120E-05
740.00	-3.957E-06
741.00	-1.250E-05
742.00	-6.382E-08
743.00	2.545E-05
744.00	8.126E-06
745.00	-4.299E-07
746.00	1.789E-07
747.00	1.687E-05
748.00	-1.450E-07
749.00	-4.631E-06
750.00	-2.605E-06
751.00	-7.247E-06
752.00	-2.096E-06
753.00	1.691E-05
754.00	2.126E-05
755.00	8.113E-06
756.00	4.493E-06
757.00	4.313E-06
758.00	-6.475E-06
759.00	3.433E-05
760.00	-2.599E-06
761.00	1.698E-05
762.00	4.343E-06
763.00	4.123E-06
764.00	1.700E-05
765.00	-4.730E-06
766.00	8.706E-06
767.00	-6.238E-06
768.00	-6.455E-06
769.00	8.358E-06
770.00	1.264E-05
771.00	8.108E-06
772.00	1.285E-05
773.00	4.241E-06
